,name,sex,phone,email,address,vip
44,Steevie Cezary,Female,13734588323,18307110044@fudan.edu.cn,"254 Shyia Street, Madrid",1
45,Kajiyama Mayameen,Female,19162009031,18307110045@fudan.edu.cn,"755 Daniya Road, Madrid",0
46,Emillie Ilkka,Male,19155039089,18307110046@fudan.edu.cn,"404 Nyalah Lane, Manila",1
47,Aubree-Mae Vikram,Female,18632694039,18307110047@fudan.edu.cn,"76 Erin-L Avenue, Guangzhou",0
48,Ethan-Ewan Kyee,Female,19140870507,18307110048@fudan.edu.cn,"223 Jiayi Road, Sao Paulo",1
49,Fadila Yazeed,None,13765191505,18307110049@fudan.edu.cn,"569 Ephra Lane, Guangzhou",0
50,Maggie Sum-Yee,Female,18930422142,18307110050@fudan.edu.cn,"218 Arsakh Street, Manila",1
51,Rachel-Isabella Khondoker,Female,18957749393,18307110051@fudan.edu.cn,"250 Nualla Avenue, Beijing",1
52,Zeth Serennah,Female,15891047875,18307110052@fudan.edu.cn,"593 Khalli Lane, Buenos Aires",0
53,Roberta Kairo,Male,13775635601,18307110053@fudan.edu.cn,"234 Aros Avenue, Sao Paulo",0
54,Yemichael Joanna-Jean,Female,18975527874,18307110054@fudan.edu.cn,"6 Yusif Lane, Seoul",0
55,Zilan Kayci,Male,18971971578,18307110055@fudan.edu.cn,"791 Katyln Lane, Seoul",0
56,Niami Izobella,Female,13717904114,18307110056@fudan.edu.cn,"657 Howard Lane, Guangzhou",1
57,Marriam Clarke,Female,19136120976,18307110057@fudan.edu.cn,"248 Minnah Street, Beijing",0
58,Elpiniki Elvis,Female,18966103435,18307110058@fudan.edu.cn,"366 Tamzin Street, Buenos Aires",1
59,Leomie Adonay,Female,18929720202,18307110059@fudan.edu.cn,"679 Umaima Road, Paris",1
60,Coupar Hemen,Male,18961086058,18307110060@fudan.edu.cn,"204 Hayley Street, Seoul",0
61,Sayeda Feechi,Male,19189877807,18307110061@fudan.edu.cn,"318 Lilly- Street, Sao Paulo",0
62,Palden Mukhtar,Male,15813618852,18307110062@fudan.edu.cn,"265 Aiva-E Street, Sao Paulo",0
63,Sofina Zariah,Female,18982324232,18307110063@fudan.edu.cn,"505 Adel Avenue, Guangzhou",0
64,Gala Koldo,Female,15853761380,18307110064@fudan.edu.cn,"729 Jazmin Lane, Seoul",1
65,Ellis-Ann Murin,Female,13745340244,18307110065@fudan.edu.cn,"592 Biel Road, Seoul",0
66,Alexandreena Jorjey,Female,18676124141,18307110066@fudan.edu.cn,"971 Lachla Lane, London",1
67,Brandon-Lee Janyar,Male,18682967689,18307110067@fudan.edu.cn,"230 Riah Street, Guangzhou",0
68,Revathi Elisabeth,Female,18679825211,18307110068@fudan.edu.cn,"154 Meghal Lane, Madrid",1
69,Ixacc Rhauri,Male,15894397223,18307110069@fudan.edu.cn,"685 Niraly Avenue, Madrid",1
70,Eilidhmay Cadyn,Female,18982154755,18307110070@fudan.edu.cn,"934 Pixey Lane, Seoul",0
71,Leon-James Kinleigh,Female,18965871435,18307110071@fudan.edu.cn,"227 Srinik Lane, Los Angeles",1
72,Nishaad Willow-Coco,Female,19190307350,18307110072@fudan.edu.cn,"533 Agatha Road, London",0
73,Anhad Haydn-Quinn,Male,18972704486,18307110073@fudan.edu.cn,"633 Aanaya Lane, Sao Paulo",0
74,Jesus Keith-James,Female,19111222907,18307110074@fudan.edu.cn,"906 Aleah- Lane, Beijing",1
75,Kievah Niome,Male,13775736872,18307110075@fudan.edu.cn,"363 Firoza Street, Bangkok",1
76,Chidochashe Kristofer-James,Female,15895910096,18307110076@fudan.edu.cn,"105 Roee Avenue, Buenos Aires",1
77,Brahmleen Yuankai,Female,18957137717,18307110077@fudan.edu.cn,"290 Aarjun Avenue, Bangkok",1
78,Manech Afonso,Male,19178547013,18307110078@fudan.edu.cn,"56 Maxine Avenue, Beijing",0
79,Kelsie-May Eidan,Female,19111519707,18307110079@fudan.edu.cn,"544 Emily- Avenue, Shanghai",0
80,Felan-Magnus Modoulamin,Male,18922244930,18307110080@fudan.edu.cn,"173 Yasna Street, Los Angeles",1
81,Andre-Lee Osaruse,Female,19141048792,18307110081@fudan.edu.cn,"389 Rayah Road, Guangzhou",1
82,Gizelle Cornelius,Male,15814577128,18307110082@fudan.edu.cn,"679 Xane Street, Sao Paulo",1
83,Connor-William Michael-William,Female,19174006781,18307110083@fudan.edu.cn,"439 Rowann Avenue, Tokyo",1
84,Harley-Grace Beck,Male,18988191306,18307110084@fudan.edu.cn,"965 Suzann Lane, Paris",1
85,Yousuf Tobenna,Female,15853872510,18307110085@fudan.edu.cn,"863 Hydie Road, Beijing",0
86,Ruan Rou,Male,19126731817,18307110086@fudan.edu.cn,"306 Harmon Street, Shanghai",1
87,Fremah Shawen,Female,15852406325,18307110087@fudan.edu.cn,"49 Amilia Road, Sao Paulo",0
88,Axyl Kier,Male,15829482479,18307110088@fudan.edu.cn,"302 Carlay Lane, Madrid",1
89,Rjay Aarnav,Male,19129609732,18307110089@fudan.edu.cn,"21 Mailey Road, London",1
90,Connie-Agnes Lucio,Male,18617440374,18307110090@fudan.edu.cn,"550 Yundi Avenue, Bangkok",1
91,Alaska Caoimhe-Louisa,Male,19153731327,18307110091@fudan.edu.cn,"267 Fadipe Road, Manila",1
92,Sorin Inesh,Female,18964164739,18307110092@fudan.edu.cn,"10 Genevi Street, Tokyo",1
93,Karmdeep Khaleesi-Marie,Male,13751917679,18307110093@fudan.edu.cn,"25 Brogan Avenue, Sao Paulo",1
94,Oceane Hiren,Female,13721947276,18307110094@fudan.edu.cn,"311 Spurth Avenue, Sao Paulo",1
95,Boshra Arthur-William,Female,13799028339,18307110095@fudan.edu.cn,"802 Hany Street, Buenos Aires",0
96,Mansie Hanzala,Male,13764786040,18307110096@fudan.edu.cn,"919 Bayli Street, Hong Kong",1
97,Alexa-Rae Yvonne,Male,18996780324,18307110097@fudan.edu.cn,"449 Myren Lane, Seoul",0
98,Harsh Roag,Male,18650570471,18307110098@fudan.edu.cn,"176 Allann Road, Seoul",0
99,Aivars Shafay,Male,15877835280,18307110099@fudan.edu.cn,"769 Johnat Road, Bangkok",1
100,Sanda Yasein,Male,18936709229,18307110100@fudan.edu.cn,"401 Abhav Street, Delhi",1
101,Kiernach Ashlin,Female,18660905092,18307110101@fudan.edu.cn,"521 Aviee Street, London",1
102,Eeva Kali-Marie,Male,19153926304,18307110102@fudan.edu.cn,"34 Azar Road, Tokyo",1
103,Iona-May Ephra,Male,13750076180,18307110103@fudan.edu.cn,"33 Bradne Avenue, Bangkok",0
104,Katie-Angel Rhianwen,Male,18674065258,18307110104@fudan.edu.cn,"238 Leonha Road, Sao Paulo",1
105,Corey-Jaidan Ryleigh-Jay,Female,13783225736,18307110105@fudan.edu.cn,"783 Aliyaa Avenue, Los Angeles",0
106,Madalena Boden-Rose,Male,18671578715,18307110106@fudan.edu.cn,"569 Omasil Lane, Madrid",0
107,Zaylie Ghara,Female,18980266453,18307110107@fudan.edu.cn,"116 Lacey- Road, Tokyo",1
108,Amy-Claire Eviejoy,Female,18968999734,18307110108@fudan.edu.cn,"370 Kochya Street, Bangkok",1
109,Zaayan Maysie,Male,18981710665,18307110109@fudan.edu.cn,"768 Amynta Avenue, Seoul",1
110,Eamie Loren,Male,19185566132,18307110110@fudan.edu.cn,"764 Khiara Street, Bangkok",0
111,Wayu Anri,Female,18682627615,18307110111@fudan.edu.cn,"721 Kein-L Street, Madrid",1
112,Osayiefewemwen Lillie-Jo,Female,15824260867,18307110112@fudan.edu.cn,"611 Ibinab Road, Manila",1
113,Rj Aaliya,Male,18656569595,18307110113@fudan.edu.cn,"863 Colin- Avenue, Beijing",1
114,Newal Ghara,Male,13762688568,18307110114@fudan.edu.cn,"557 Ghfran Avenue, Bangkok",0
115,Eboni-Louise Cosmos,Female,13760160426,18307110115@fudan.edu.cn,"431 Keegan Avenue, London",1
116,Tarian Cadysse,Female,15845418378,18307110116@fudan.edu.cn,"157 Halie Street, Shanghai",1
117,Boshra Blue,Male,15868277141,18307110117@fudan.edu.cn,"918 Aarini Avenue, Bangkok",0
118,Arija Abeeha,Male,13775495849,18307110118@fudan.edu.cn,"531 Caskie Avenue, Tokyo",1
119,Muhamad Tamsir,Male,15861511648,18307110119@fudan.edu.cn,"338 Lorrin Avenue, Delhi",0
120,Ameeliah Bea,Female,18651879326,18307110120@fudan.edu.cn,"886 Abiola Lane, Los Angeles",1
121,Prasant Qaiser,Female,15822575987,18307110121@fudan.edu.cn,"87 Gino Road, Beijing",1
122,Lucyanne Kaetlin,Female,15860127406,18307110122@fudan.edu.cn,"288 Bhanu Street, Hong Kong",0
123,Rakan Sofia-Florence,Male,19179736947,18307110123@fudan.edu.cn,"316 Willia Road, Los Angeles",0
124,Mehakh Eliyah,Female,18647401562,18307110124@fudan.edu.cn,"648 Gea Lane, Madrid",0
125,Jaya Casey,Male,19143997694,18307110125@fudan.edu.cn,"727 Aleena Road, Buenos Aires",1
126,Saiva Zeon,Male,18618805131,18307110126@fudan.edu.cn,"624 Ceinwe Road, Guangzhou",0
127,Magizhini Skyrah,Female,15876355669,18307110127@fudan.edu.cn,"273 Georgi Street, Beijing",0
128,Damian Shianjali,Male,18923837522,18307110128@fudan.edu.cn,"877 Khason Street, London",0
129,Ifechukwu Sophia-Mae,Female,18692126243,18307110129@fudan.edu.cn,"267 Kobimt Avenue, Madrid",0
130,Feliks Chuk,Female,18962878060,18307110130@fudan.edu.cn,"167 Naemie Road, London",0
131,Amelia-Grace Anneshka,Male,15819069687,18307110131@fudan.edu.cn,"694 Hirad Avenue, Madrid",1
132,Sinjini Aydin,Male,18932992914,18307110132@fudan.edu.cn,"866 Takeru Street, Paris",0
133,Frida Elise-Rose,Female,13796147029,18307110133@fudan.edu.cn,"661 Savas Avenue, London",1
134,Denanne John-Jack,Male,15889599744,18307110134@fudan.edu.cn,"34 Aldo Lane, Delhi",1
135,Obianuri Aryaveer,Male,18917102438,18307110135@fudan.edu.cn,"359 Zaiba Lane, Delhi",1
136,Peggy Chelsey-Leigh,None,18679835354,18307110136@fudan.edu.cn,"890 Blare Lane, Seoul",1
137,John-Alan Annachiara,Male,19187415658,18307110137@fudan.edu.cn,"825 Mbinom Street, Hong Kong",0
138,Kiannah-Lee Brinna,Male,19137425342,18307110138@fudan.edu.cn,"136 Thanvi Avenue, Hong Kong",0
139,Goddominion Onic,Male,15821706066,18307110139@fudan.edu.cn,"455 Gexian Street, Buenos Aires",1
140,Joao Indea,Male,19173349264,18307110140@fudan.edu.cn,"172 Kushve Avenue, London",1
141,Penelope-Daisy Makoto,Male,18963160039,18307110141@fudan.edu.cn,"135 Ogechu Road, Shanghai",1
142,Gillen Aadhira,Female,15843719227,18307110142@fudan.edu.cn,"179 Aamila Road, Buenos Aires",1
143,Dailley Chamelia-Lily,Male,13742267072,18307110143@fudan.edu.cn,"839 Lilly- Street, Beijing",1
144,Lily-May-Mary Temitundarasi,Male,18684354091,18307110144@fudan.edu.cn,"333 Pelois Avenue, Los Angeles",0
145,Larah Azora,Male,19153153302,18307110145@fudan.edu.cn,"977 Dickso Street, Paris",0
146,Lola-Lee Cyde,Female,18942150713,18307110146@fudan.edu.cn,"116 Eartha Road, Manila",1
147,Janaiyah Aalvy,Male,13755466564,18307110147@fudan.edu.cn,"422 Ruby-J Lane, Paris",0
148,Ervin Kristi,Male,18945799402,18307110148@fudan.edu.cn,"795 Solene Road, Guangzhou",0
149,Lexie-Mia Nichola,Male,13762013752,18307110149@fudan.edu.cn,"452 Komal Lane, Sao Paulo",0
150,Ishikaa Aleka,Female,18939513809,18307110150@fudan.edu.cn,"33 Darina Lane, Manila",1
151,Laylah Cacey,Female,18984259369,18307110151@fudan.edu.cn,"135 Salima Street, Manila",1
152,Margarida Mairin,Female,15829662814,18307110152@fudan.edu.cn,"755 Jussi Street, Buenos Aires",1
153,Theodosia Abdelhamid,Male,18655281716,18307110153@fudan.edu.cn,"575 Aarne Street, Buenos Aires",1
154,Lewis-Fraser Nandhika,None,15897552114,18307110154@fudan.edu.cn,"826 Oche Street, Sao Paulo",1
155,Lathan Tarun,Female,18960424190,18307110155@fudan.edu.cn,"573 Badiah Road, Seoul",1
156,Akhila Chaarvi,Male,15899580538,18307110156@fudan.edu.cn,"672 Arafah Road, Seoul",0
157,Coady-Leigh Julja,Female,19140184041,18307110157@fudan.edu.cn,"344 Rahen Road, London",0
158,Bosco Inola,Female,18949210131,18307110158@fudan.edu.cn,"24 Eilidg Road, Manila",0
159,Ziyara Yazin,Female,18610132138,18307110159@fudan.edu.cn,"235 Ekondu Lane, Los Angeles",1
160,Almirah Koedyn,Female,13726855490,18307110160@fudan.edu.cn,"10 Celal Lane, Sao Paulo",0
161,Rund Stephen-John,Female,18693651020,18307110161@fudan.edu.cn,"191 Rhiara Street, Paris",1
162,Sejalpreet Mathew-Robert,Male,18911727385,18307110162@fudan.edu.cn,"633 Jarod Lane, London",1
163,Ailan Siba,Male,18990138297,18307110163@fudan.edu.cn,"113 Clodah Street, Sao Paulo",0
164,Chikenumkeka Zarwa,Male,18691899263,18307110164@fudan.edu.cn,"278 Lauria Avenue, Los Angeles",0
165,Dingkun Anek,Male,18985730451,18307110165@fudan.edu.cn,"916 Nheive Lane, Beijing",0
166,Bully Seain,Male,15856662696,18307110166@fudan.edu.cn,"81 Jamie- Road, Sao Paulo",1
167,Jaidyn Ashleighann,Female,18936549499,18307110167@fudan.edu.cn,"520 Inayah Road, Beijing",1
168,Samyo Lexii-Leigh,Female,18976008346,18307110168@fudan.edu.cn,"222 Edison Street, Buenos Aires",0
169,Keerah Kullan,Male,15813833929,18307110169@fudan.edu.cn,"936 Rahib Road, Los Angeles",0
170,Jermaine Vidura,Female,13724942438,18307110170@fudan.edu.cn,"19 Se Lane, Shanghai",1
171,Yosias Annah,Female,19193825975,18307110171@fudan.edu.cn,"921 Kainen Road, Guangzhou",1
172,Everley Kaelin,Female,19186024679,18307110172@fudan.edu.cn,"390 Robfre Road, Delhi",1
173,Brea Aua,Male,18974929767,18307110173@fudan.edu.cn,"479 Damon Lane, Sao Paulo",0
174,Lexci-Louise Zahrah,Female,15872505981,18307110174@fudan.edu.cn,"761 Airdri Lane, Manila",0
175,Akinleye Lyse,Male,18661546734,18307110175@fudan.edu.cn,"18 Robbie Avenue, Shanghai",1
176,Ameliah Amellia-Lilly,Male,13714511561,18307110176@fudan.edu.cn,"557 Saffia Street, Delhi",1
177,Mia-Lily Jubi,Male,18989919368,18307110177@fudan.edu.cn,"174 Faatim Lane, Los Angeles",0
178,Shamma Pinar,Male,13722613707,18307110178@fudan.edu.cn,"333 Jameel Avenue, Madrid",0
179,Hunar Soracha,Female,18672842825,18307110179@fudan.edu.cn,"276 Niadh Lane, London",1
180,Izzy-May Peterjames,Female,15859258027,18307110180@fudan.edu.cn,"780 Domini Road, Madrid",0
181,Umaiza Harri-Lee,Male,18910287704,18307110181@fudan.edu.cn,"305 Karanj Street, Guangzhou",1
182,Stacie Oluwafemi,Male,18932823668,18307110182@fudan.edu.cn,"351 Tayim Avenue, Sao Paulo",1
183,Tegain Eday,Female,18648162336,18307110183@fudan.edu.cn,"904 Tianna Avenue, Hong Kong",1
184,Sionainn Jaeyoun,Female,18953271930,18307110184@fudan.edu.cn,"168 Koltyn Road, Buenos Aires",1
185,Alyishia Aanuoluwapo,Male,19115565439,18307110185@fudan.edu.cn,"819 Anoush Street, Paris",1
186,Maikas Boh,Female,15852418300,18307110186@fudan.edu.cn,"341 Hallie Street, Guangzhou",0
187,Ruari Tadiwanashe,Female,18673447285,18307110187@fudan.edu.cn,"211 Wajeeh Lane, Los Angeles",0
188,Lochan Damars,Female,19187813739,18307110188@fudan.edu.cn,"531 Marili Lane, London",0
189,Melinda Cassidhe,Male,18948731090,18307110189@fudan.edu.cn,"474 Joaqui Road, Guangzhou",1
190,Linna Hollie-Jane,Female,18915816221,18307110190@fudan.edu.cn,"919 Sylvia Lane, Beijing",0
191,Elikia Aurelia-Rose,Male,19139834540,18307110191@fudan.edu.cn,"852 Lucyna Street, London",0
192,Margo Zeppelin,Male,13796499258,18307110192@fudan.edu.cn,"727 Mylar Road, Guangzhou",0
193,Adariaha Erikas,Male,19142224540,18307110193@fudan.edu.cn,"889 Lauren Street, Hong Kong",0
194,Majula Kneema,Female,18649133751,18307110194@fudan.edu.cn,"460 Rohann Road, Paris",1
195,Odelle-Michelle Numan,Female,19140589198,18307110195@fudan.edu.cn,"281 Aysia Street, Madrid",1
196,Zabby Kennice,Female,19166982541,18307110196@fudan.edu.cn,"512 Taygen Road, Shanghai",0
197,Indio Caoimh,Male,13774278597,18307110197@fudan.edu.cn,"749 Laura- Lane, Paris",1
198,Jiya Cash,Female,18681743952,18307110198@fudan.edu.cn,"901 Lylli- Avenue, Beijing",0
199,Kristian Ario,Male,13779606242,18307110199@fudan.edu.cn,"850 Dario Road, Hong Kong",1
200,Miliey Uwuma,Male,15820401324,18307110200@fudan.edu.cn,"721 Mah Avenue, London",0
201,Loch Elsie-Violet,Male,19153820613,18307110201@fudan.edu.cn,"753 Lexxi Street, Guangzhou",0
202,Grace-Louise Waheed,Male,18997876172,18307110202@fudan.edu.cn,"498 Luret Street, Buenos Aires",0
203,Kyriakos Loganlee,None,13755225174,18307110203@fudan.edu.cn,"310 Salah Street, Delhi",0
204,Eppy Falluin,Male,19173482538,18307110204@fudan.edu.cn,"670 Eoghan Street, Sao Paulo",1
205,Romi-Drew Aarohi,Female,13765876936,18307110205@fudan.edu.cn,"845 Hana' Lane, Paris",1
206,Tabatha Sarra,Male,13774954193,18307110206@fudan.edu.cn,"537 Nancy- Avenue, Delhi",0
207,Emilea Kyran-Kobi,Male,13784529413,18307110207@fudan.edu.cn,"156 Jossy Street, Shanghai",1
208,Kolton-Bleu Matthijs,Male,19137886399,18307110208@fudan.edu.cn,"493 Indiie Road, Beijing",1
209,Thorfinn Savannah-Jane,Female,18914150448,18307110209@fudan.edu.cn,"197 Rereol Lane, Manila",1
210,Blessing Hallie-Amara,Male,18912788887,18307110210@fudan.edu.cn,"897 Kavin Avenue, Los Angeles",0
211,Iacob Sephiroth,Male,18952292295,18307110211@fudan.edu.cn,"155 Orhla Road, Paris",0
212,Lucas-Wyn Lillibet,Male,19153595359,18307110212@fudan.edu.cn,"772 Bixuan Road, Delhi",0
213,Alyna Billy-Dean,Male,18624047950,18307110213@fudan.edu.cn,"275 Maariy Street, Shanghai",1
214,Zainulabedeen Aurora-Grace,Female,18614930741,18307110214@fudan.edu.cn,"894 Keatin Lane, Delhi",0
215,Sanjana Roshik,Male,18969621371,18307110215@fudan.edu.cn,"144 Danae Lane, Paris",0
216,Namra Annalyze,Male,13798103282,18307110216@fudan.edu.cn,"614 Makayl Avenue, Beijing",0
217,Rydan Daisie,Male,18677117300,18307110217@fudan.edu.cn,"503 Alexza Avenue, Sao Paulo",0
218,Cailein Jiwan,Male,15879645231,18307110218@fudan.edu.cn,"239 Elene Lane, Delhi",1
219,Tazmeen Saptorshe,Female,18992902020,18307110219@fudan.edu.cn,"445 Radost Road, Los Angeles",1
220,Juhitha Lina,Male,19124995628,18307110220@fudan.edu.cn,"453 Indi Avenue, Sao Paulo",1
221,Karamo Elrick,Female,18913014716,18307110221@fudan.edu.cn,"46 Oreon Avenue, Los Angeles",0
222,Shayma Delinda,Female,15823874388,18307110222@fudan.edu.cn,"319 Fadzai Street, Shanghai",0
223,Everay Shenshah,Female,13781693813,18307110223@fudan.edu.cn,"824 Rybohd Avenue, London",1
224,Keris Mohitha,Female,15894610386,18307110224@fudan.edu.cn,"117 Ksenij Avenue, Shanghai",0
225,Lorina Ewan,Male,18981477071,18307110225@fudan.edu.cn,"982 Ike Avenue, Beijing",1
226,Evianna Laic,Male,15851064362,18307110226@fudan.edu.cn,"966 Sofiam Street, Seoul",1
227,Dudek Anjum,Female,13784733072,18307110227@fudan.edu.cn,"398 Borys Road, Sao Paulo",0
228,Eoghan Abdusalam,Male,18991521887,18307110228@fudan.edu.cn,"831 Koedyn Street, Shanghai",0
229,Finbarr Amzie,Male,18946076896,18307110229@fudan.edu.cn,"548 Jiaxu Avenue, Seoul",1
230,Dalington Poppywallis,Male,19190044232,18307110230@fudan.edu.cn,"948 Donna Road, Los Angeles",0
231,Alexis-Marie Chinelo,Female,13775336223,18307110231@fudan.edu.cn,"620 Breann Street, Bangkok",1
232,Glory Fox,Male,13794506820,18307110232@fudan.edu.cn,"236 Essie Street, Bangkok",1
233,Skyla-Louise Quaintrelle,Male,18935665708,18307110233@fudan.edu.cn,"683 Micah Road, Tokyo",0
234,Omkar Yukta,Female,18917675964,18307110234@fudan.edu.cn,"934 Wahida Lane, Tokyo",0
235,Fearne-Leigh Duya,Female,13715532535,18307110235@fudan.edu.cn,"74 Arshpr Road, Bangkok",1
236,Nola Pavneet,Female,15858238610,18307110236@fudan.edu.cn,"581 Zacery Road, Los Angeles",1
237,Dale Yanday,Female,19178363656,18307110237@fudan.edu.cn,"753 Wasifa Road, Buenos Aires",1
238,Fox Ruhee,Female,19190224593,18307110238@fudan.edu.cn,"112 Cale Street, London",0
239,Harvey-Jay Naman,Male,15899270145,18307110239@fudan.edu.cn,"769 Jami-L Road, London",1
240,Maisyn Tafsir,Male,19120169264,18307110240@fudan.edu.cn,"525 Boon Street, Shanghai",1
241,Bellamaria Sadie,Male,19150169994,18307110241@fudan.edu.cn,"412 Asten Road, Bangkok",1
242,Carmel-Miya Firas,Male,15859290922,18307110242@fudan.edu.cn,"64 Gurshe Lane, Hong Kong",0
243,Lee-James Kaddence,None,18940329094,18307110243@fudan.edu.cn,"391 Italia Street, Shanghai",0
244,Rosabella Alba-Crystal,Female,19149519334,18307110244@fudan.edu.cn,"544 Hollie Avenue, Shanghai",1
245,Oluwatamilola Eshaal,Male,18949477706,18307110245@fudan.edu.cn,"674 Prabhj Street, Bangkok",0
246,Kohde Reeah,Female,15855631503,18307110246@fudan.edu.cn,"287 Caleb- Street, Shanghai",1
247,Marcuz Kaidyn,Male,13788673799,18307110247@fudan.edu.cn,"368 Elisab Street, Seoul",0
248,Roxann Mahtab,Female,15864196650,18307110248@fudan.edu.cn,"638 Hendry Street, Los Angeles",1
249,Parivash Guste,Female,18968347247,18307110249@fudan.edu.cn,"831 Shahin Street, Paris",1
250,Jackson-Ryan Tefta,Male,18682603046,18307110250@fudan.edu.cn,"988 Katie- Street, Tokyo",0
251,Spruha Orevaoghene,Female,13737625355,18307110251@fudan.edu.cn,"297 Annast Street, Madrid",1
252,Kota Seanna,Male,19195492044,18307110252@fudan.edu.cn,"989 Levi-K Lane, Manila",1
253,Andhuvan Gergana,Female,18656395488,18307110253@fudan.edu.cn,"442 Garrie Road, Hong Kong",1
254,Reili Ridah,Male,19191399527,18307110254@fudan.edu.cn,"448 Tabbat Road, Hong Kong",1
255,Rubie-Rose Maisy,Male,18918003604,18307110255@fudan.edu.cn,"400 Lillie Road, Tokyo",1
256,Sumeyra Albha-Rayne,Female,15848624469,18307110256@fudan.edu.cn,"865 Farsha Road, Delhi",1
