,name,phone_number,email,contacts,address
34,Sofiyah's,19160730366,18307110034@sjtu.edu.cn,Ritchie Amelia-Elle,"746 Sofia-Ro Lane, Buenos Aires"
35,Imoh Press,13742052687,18307110035@sjtu.edu.cn,Zosha Marissa-Grace,"978 Arianna- Street, Buenos Aires"
36,Rumaysa Books,18976617225,18307110036@sjtu.edu.cn,Cicelia Savannah-Louise,"390 Nikkayla Road, Beijing"
37,Sue's,18939852339,18307110037@sjtu.edu.cn,Jenifer Sylvie,"235 Temitayo Lane, Bangkok"
38,Enda's,15899748554,18307110038@sjtu.edu.cn,Giorgo Alana,"306 Ishfa Road, Shanghai"
39,Vaughan's,18982269581,18307110039@sjtu.edu.cn,Tilly-Fraya Nelly,"358 Lotti Avenue, Beijing"
40,Libbi House,18642154947,18307110040@sjtu.edu.cn,Boden Annallie,"989 Coraline Avenue, Delhi"
41,Colden Books,18918579268,18307110041@sjtu.edu.cn,Balin Rashid,"353 Jochebed Street, Buenos Aires"
42,Maelie Books,15846637779,18307110042@sjtu.edu.cn,Lindyn Bethany,"893 Shahmir Lane, Shanghai"
43,Willamina House,13779719865,18307110043@sjtu.edu.cn,Lexijean Keisha-Marie,"584 Navadah Avenue, Madrid"
44,Yishu Press,18951748855,18307110044@sjtu.edu.cn,Parya Barri,"235 Nikhil Lane, Sao Paulo"
45,Yasamine's,18647460380,18307110045@sjtu.edu.cn,Tanishia Todd,"75 Nuura Avenue, Tokyo"
46,Muneer House,15888609202,18307110046@sjtu.edu.cn,Theodore-Bear Evanna,"693 Zynnell Road, Manila"
47,Fenwick Books,18967084744,18307110047@sjtu.edu.cn,Sadeen Amelia-Jane,"615 Ilhame Lane, Seoul"
48,Warwick House,13772380413,18307110048@sjtu.edu.cn,Marley-May Winifred,"446 Lewyn Street, Hong Kong"
49,Eitan Books,15816351634,18307110049@sjtu.edu.cn,Patronella Franz,"19 Saathvik Road, Shanghai"
50,Taliesin House,18945212906,18307110050@sjtu.edu.cn,Daisy-May Essah,"55 Evisa Street, London"
51,Ryan-Carter Books,18685639412,18307110051@sjtu.edu.cn,Giorgio Eljay,"314 Boden Street, Paris"
52,Cadey Press,18957832133,18307110052@sjtu.edu.cn,Elsee Riona,"878 Henoch Avenue, Madrid"
53,Remaz Books,18656167884,18307110053@sjtu.edu.cn,Neea Ajax,"795 Ronald Avenue, Los Angeles"
54,Zanemvula Press,13762848716,18307110054@sjtu.edu.cn,Kinsley Jazlynn,"887 Aratrika Road, Guangzhou"
55,Kylin Books,18645111391,18307110055@sjtu.edu.cn,Feah Missy,"407 Jiahui Lane, Delhi"
56,Odhran's,19179438773,18307110056@sjtu.edu.cn,Aleighna Antoan,"327 Oche Avenue, London"
57,Maider Books,18660731585,18307110057@sjtu.edu.cn,Bareera Brady,"319 Nusyba Road, Tokyo"
58,Jesus House,19148021078,18307110058@sjtu.edu.cn,Henrik Minh,"42 Aythan Lane, Seoul"
59,Rahiz Press,18986804792,18307110059@sjtu.edu.cn,Sahejnoor Beniamin,"366 Emily-Jo Lane, Tokyo"
60,Lyrrissa's,13741091173,18307110060@sjtu.edu.cn,Leah-Jane Yossef,"854 John-Jac Lane, Shanghai"
61,Cici-Rae's,19118615987,18307110061@sjtu.edu.cn,Daigan Petr,"338 Annieros Street, Sao Paulo"
62,Katelynn Books,19150034012,18307110062@sjtu.edu.cn,Letisha-Jay Feryal,"472 Mekhi Lane, London"
63,Essah House,13720931118,18307110063@sjtu.edu.cn,Hanvikha Sheikh,"697 Aayna Road, Shanghai"
64,Quazi's,15897319282,18307110064@sjtu.edu.cn,Darrah Kendell,"687 Nikhit Street, London"
65,Nalle Press,15875374787,18307110065@sjtu.edu.cn,Kelian Anahita,"661 Ruari Street, Los Angeles"
66,Xinyang's,19193557140,18307110066@sjtu.edu.cn,Mohanad Aimei,"448 Ashraff Road, Guangzhou"
67,Simina Press,18965387932,18307110067@sjtu.edu.cn,Azia Mehmet-Ali,"487 Patrisia Road, Tokyo"
68,Oorlagh Books,18937788935,18307110068@sjtu.edu.cn,Madelynne Jai-Jay,"549 Allaska- Street, Bangkok"
69,Kaja House,18911688915,18307110069@sjtu.edu.cn,Peterjames Brieaca,"414 Rekesh Avenue, Guangzhou"
70,Zelda Books,18631966628,18307110070@sjtu.edu.cn,Ales Lucia-Louise,"470 Navadah Street, Beijing"
71,Kevin Press,13775373967,18307110071@sjtu.edu.cn,Malachie Jaeden,"698 Ella Road, Madrid"
72,Kev Press,13710261018,18307110072@sjtu.edu.cn,Moumna Krishnan,"831 Jeshurun Road, Manila"
73,Steevie's,19164696428,18307110073@sjtu.edu.cn,Leiland Avianna,"969 Keli-Ann Avenue, Sao Paulo"
74,Neri House,18968145391,18307110074@sjtu.edu.cn,Linsey Reiff,"210 Jordan-J Street, Los Angeles"
75,Marauzochi Press,15861032362,18307110075@sjtu.edu.cn,Reife Pijus,"962 Nakai Street, Tokyo"
76,Isshak's,13788129395,18307110076@sjtu.edu.cn,Chidiogo Manpriya,"353 Safet Avenue, Beijing"
77,Emili House,18938487413,18307110077@sjtu.edu.cn,Kiranpreet Brandon-James,"781 Kasjan Avenue, Delhi"
78,Anilese House,15816667125,18307110078@sjtu.edu.cn,Zarina Thalia-Rose,"596 Faustine Road, Seoul"
79,Fergus Press,19199923126,18307110079@sjtu.edu.cn,Janusz Rosena,"722 Kasia Street, Paris"
80,Naeve's,15891738582,18307110080@sjtu.edu.cn,Sophia-Azra Izabell,"320 Lana-Jad Street, Tokyo"
81,Iklim House,13739041059,18307110081@sjtu.edu.cn,Matthijs Mya-Crystal,"759 Sian Street, Buenos Aires"
82,Mikayeel Books,19179065927,18307110082@sjtu.edu.cn,Kaiyn Arella,"59 Carah Lane, Los Angeles"
83,Vari House,15854951092,18307110083@sjtu.edu.cn,Genovie Diniz,"898 Ellie-Ma Lane, Shanghai"
84,Brinley's,18685478859,18307110084@sjtu.edu.cn,Bradley-Findlay Bennett,"246 Aline Avenue, Madrid"
85,Dheri House,13727657146,18307110085@sjtu.edu.cn,Bebhinn Laowy,"483 Emalie Lane, London"
86,Shreya Books,19173238241,18307110086@sjtu.edu.cn,Roxan Isah,"868 Jon-Ross Avenue, Sao Paulo"
87,Cassara's,19165381537,18307110087@sjtu.edu.cn,Achintya Ravenna,"420 Riannon Avenue, Shanghai"
88,Asmita Books,18950165087,18307110088@sjtu.edu.cn,Franco Dean,"262 Hadiyah Avenue, Hong Kong"
89,Kimi-Lee Press,18682211952,18307110089@sjtu.edu.cn,Aalya Poppy-Ray,"903 Nyla-Ann Road, Delhi"
90,Sunne's,19142045292,18307110090@sjtu.edu.cn,Grayslin Fareeha,"99 Dragos-I Lane, Seoul"
91,Saorla House,15890833395,18307110091@sjtu.edu.cn,Khaidyn Chanah,"940 Unaisa Road, Beijing"
92,Kayln Press,15857952106,18307110092@sjtu.edu.cn,Dilwar Darsey,"811 Ilie Lane, Sao Paulo"
93,Elexa Press,13739015293,18307110093@sjtu.edu.cn,Kasie Pride,"395 Eshnika Road, Buenos Aires"
94,Adorabelle Press,18641944437,18307110094@sjtu.edu.cn,Elenna Pia,"24 Braylie Road, Buenos Aires"
95,Haadiyah Press,13793703641,18307110095@sjtu.edu.cn,Amirali Riyaan,"379 Khair Road, London"
96,Tharchin Press,13751519756,18307110096@sjtu.edu.cn,Darwyn Reiner,"390 Ezekiell Lane, Tokyo"
97,Madden Press,19140949128,18307110097@sjtu.edu.cn,Jizelle-Lexi Mahdiya,"566 Ossian Lane, Guangzhou"
98,Tanraj Books,18980752652,18307110098@sjtu.edu.cn,Leyson Haziim,"495 Brighid Lane, Hong Kong"
99,Sakinah's,18644617773,18307110099@sjtu.edu.cn,Monder Laken,"922 Ashalynn Street, Los Angeles"
100,Zagros's,18614578346,18307110100@sjtu.edu.cn,Elyes Cydele,"398 Rainer Lane, London"
101,Karci-Brooke House,18944943081,18307110101@sjtu.edu.cn,Thapish Yakoob,"565 Gabriel- Lane, Shanghai"
102,Kieffer House,18950738532,18307110102@sjtu.edu.cn,Silas Aejay,"709 Aafi Avenue, Hong Kong"
103,Kharim's,15872249885,18307110103@sjtu.edu.cn,Tierney-Grace Daisie-Jane,"345 Deepak Avenue, London"
104,Ronya House,13721579232,18307110104@sjtu.edu.cn,Kyeler Ellana,"480 Zareesh Lane, Los Angeles"
105,Iuliu's,19190485799,18307110105@sjtu.edu.cn,Alexina Abisali,"790 Olli-Ken Lane, Los Angeles"
106,Maddison-Mae Press,15889422103,18307110106@sjtu.edu.cn,Addison-Grace Safaara,"958 Teodora Road, Buenos Aires"
107,Renesme House,18962066433,18307110107@sjtu.edu.cn,Beinn Rytel,"796 Maggi Street, Manila"
108,Mabrouka Books,18966542847,18307110108@sjtu.edu.cn,Mda Essam,"811 Ellissa Avenue, London"
109,Suriana's,19145284276,18307110109@sjtu.edu.cn,Shanna Ruvarashe,"99 Aaditri Lane, Delhi"
110,Ariya House,18933988806,18307110110@sjtu.edu.cn,Ferghus Yazin,"871 Laiyla Lane, Paris"
111,Eshal Books,13744187249,18307110111@sjtu.edu.cn,Chelsea-Louise Han-Lin,"776 Yana Road, Tokyo"
112,Kiellan Books,18678726195,18307110112@sjtu.edu.cn,Mckenna-Jamieson Curtis-Joseph,"767 Reham Street, Bangkok"
113,Kennedi Books,18615470455,18307110113@sjtu.edu.cn,Omer Eren,"544 Harlowe Street, Guangzhou"
114,Arnas Press,18949779491,18307110114@sjtu.edu.cn,Nebi Tarini,"528 Tre Avenue, Seoul"
115,Thiviksh's,13773369975,18307110115@sjtu.edu.cn,Folarin Osarhenoma,"104 Elijus Avenue, Seoul"
116,Hazem's,15878848646,18307110116@sjtu.edu.cn,Japhet Blake,"242 Esmi Lane, Seoul"
117,Naeem Books,13790626402,18307110117@sjtu.edu.cn,Eily Esben,"49 Saamia Street, Guangzhou"
118,Alyza Books,19176228500,18307110118@sjtu.edu.cn,Shoucheng Khobi,"452 Kevin-Jo Road, Hong Kong"
119,Aleksei's,13751044929,18307110119@sjtu.edu.cn,Tomisin Yasmin,"451 Kitti Avenue, Guangzhou"
120,Tamil Press,13727324848,18307110120@sjtu.edu.cn,Adeena Sofyan,"234 Aniko Lane, Sao Paulo"
121,Kerry-May Books,18673811640,18307110121@sjtu.edu.cn,Emilios Sarie,"609 Bisan Avenue, Sao Paulo"
122,Latoyah Books,13757034479,18307110122@sjtu.edu.cn,Nesia Ariston,"212 Lara-Lou Road, Tokyo"
123,Harli-Jak Books,18685369863,18307110123@sjtu.edu.cn,Brihann Mark-Joseph,"133 Neelesh Lane, Sao Paulo"
124,Somkenechukwu's,18920446765,18307110124@sjtu.edu.cn,Tirenioluwa Tuqa,"900 Galiah Avenue, Sao Paulo"
125,Hart Press,13774020202,18307110125@sjtu.edu.cn,Hatib Kinnin,"856 Kaesie-L Avenue, Paris"
126,Hannah-May Press,19148073323,18307110126@sjtu.edu.cn,Khylan Chloe-Elizabeth,"35 Delylah Avenue, Beijing"
127,Bluebell Press,18994364254,18307110127@sjtu.edu.cn,Zsofia Obafifehanmi,"481 Abhiram Lane, Manila"
128,Clementine Press,18941680967,18307110128@sjtu.edu.cn,Avneet Bruin,"631 Rielle Avenue, Seoul"
129,Phillip House,19184453453,18307110129@sjtu.edu.cn,Annaleese Iremide,"42 Emy Lane, Hong Kong"
130,D'angelo-Santiago Books,18622380611,18307110130@sjtu.edu.cn,Seoras Raigan,"729 Ayzak Street, Los Angeles"
131,Hadi's,13777218597,18307110131@sjtu.edu.cn,Viktoria Korin,"673 Auria Road, Seoul"
132,Peregrine's,18999587253,18307110132@sjtu.edu.cn,Orlaighe Asser,"996 Axyl Lane, Delhi"
133,Devraj Books,19150478910,18307110133@sjtu.edu.cn,Radwa Dercyn,"137 Ashley-J Avenue, Buenos Aires"
134,Libbyann's,18629606432,18307110134@sjtu.edu.cn,Elnaz Alissia,"896 Jeanie Lane, London"
135,Kolton-Bleu House,18949679227,18307110135@sjtu.edu.cn,Goda Sigurd,"215 Tejasvi Lane, Manila"
136,Saniyyah Press,13794812411,18307110136@sjtu.edu.cn,Farzad Aianna,"690 Jennel Lane, Delhi"
137,Eviejoy's,13778211222,18307110137@sjtu.edu.cn,Kai-William Leoni,"636 Rania-An Avenue, Seoul"
138,Osose House,13781017170,18307110138@sjtu.edu.cn,Iago Hebe,"203 Queenie Street, Bangkok"
139,Sowayba's,19186054878,18307110139@sjtu.edu.cn,Jeorjie Jorja-Grace,"944 Enrikas Street, Seoul"
140,Imira-Rose Press,18692195235,18307110140@sjtu.edu.cn,Luntha Oday,"261 Nykita Road, Bangkok"
141,Amelie-Jane Press,15889078628,18307110141@sjtu.edu.cn,Taron Jem,"641 Antares Road, Buenos Aires"
142,Halil House,15873421234,18307110142@sjtu.edu.cn,Tireniogo Idara,"3 Belal Avenue, Manila"
143,Ellyn Books,18638160174,18307110143@sjtu.edu.cn,Blessed Callie-Lee,"910 Rob Street, Beijing"
144,Anetochukwu's,13760729811,18307110144@sjtu.edu.cn,Lucario Tiger,"103 Tucker Avenue, Los Angeles"
145,Nereya's,18965657012,18307110145@sjtu.edu.cn,Indiie Mlak,"491 Amiyah-G Road, Los Angeles"
146,Leigh-Anna House,13754092692,18307110146@sjtu.edu.cn,Rihanne Hrishika,"601 Hajrah Road, London"
147,Tyrie-Lee's,19116938680,18307110147@sjtu.edu.cn,Khloe-Michelle Janey,"382 Rhoan Road, Delhi"
148,Moitreo Press,13714028073,18307110148@sjtu.edu.cn,Nahl Fajar,"889 Revat Street, Guangzhou"
149,Kenly Press,13761790929,18307110149@sjtu.edu.cn,Jaymee-Lynn Morgan-Jo,"187 Ailun Lane, Delhi"
150,Jens's,19135167409,18307110150@sjtu.edu.cn,Kai-Carson Annalice,"989 Viet Lane, London"
151,Anileah Press,19163967318,18307110151@sjtu.edu.cn,Michal Kieeva,"789 Lilly-Ja Road, London"
152,Srinika Books,15850958455,18307110152@sjtu.edu.cn,Rylnn Corra,"71 Cayson Road, Shanghai"
153,Samson Books,19128358282,18307110153@sjtu.edu.cn,Freaha Raju,"788 Kauly Street, Hong Kong"
154,Tia Books,13794823282,18307110154@sjtu.edu.cn,Saorlaith Shri,"348 Taevon Street, Shanghai"
155,Alexis-Jordan House,13769261848,18307110155@sjtu.edu.cn,Harman Abdul-Raheem,"452 Sondous Street, Seoul"
156,Iris-Mae Press,18980123689,18307110156@sjtu.edu.cn,Mylaa Sinai,"483 Fatiha Road, Sao Paulo"
157,Svanika Books,15819037902,18307110157@sjtu.edu.cn,Oliveris Rinad,"688 Tyler-Za Lane, Manila"
158,Evaldas Press,13787314019,18307110158@sjtu.edu.cn,Ellidh Zinah,"769 Chimaije Avenue, Manila"
159,Korey Press,18997301538,18307110159@sjtu.edu.cn,Minny-Lydi Alexey,"181 Aivah Street, Tokyo"
160,Makaulay House,13743231609,18307110160@sjtu.edu.cn,Zasiya Hajid,"770 Eimhir Road, Seoul"
161,Lochey House,15848534043,18307110161@sjtu.edu.cn,Dekota Arteen,"390 Shabnam Lane, Seoul"
162,Fenton Books,18663715552,18307110162@sjtu.edu.cn,Lilygrace Lelle,"95 Chaydenn Lane, Sao Paulo"
163,Sally Books,18642852190,18307110163@sjtu.edu.cn,Shimla Ellia,"366 Sarra Avenue, Madrid"
164,Khamis's,18663629509,18307110164@sjtu.edu.cn,Kiegan Ziona,"724 Codin Avenue, London"
165,Amy-Kate's,18670511831,18307110165@sjtu.edu.cn,Lily-Beau Tilda,"945 Khadel Road, Manila"
166,Mhairi-Louise Books,13772427864,18307110166@sjtu.edu.cn,Cheribin Jayke,"886 Ezio Avenue, Guangzhou"
167,Letio Press,19145407713,18307110167@sjtu.edu.cn,Tien Sasilca,"805 Ayicha Street, Hong Kong"
168,Khowan's,18693179385,18307110168@sjtu.edu.cn,Aiyana-Jane Ayse,"105 Rien Avenue, Buenos Aires"
169,Nabina Books,18628205712,18307110169@sjtu.edu.cn,Minnie-Lou Minaxi,"745 Anan Avenue, Hong Kong"
170,Bryson House,18612557873,18307110170@sjtu.edu.cn,Siarra Darraich,"95 Evie-May Street, Delhi"
171,Missi's,19173590344,18307110171@sjtu.edu.cn,Harmanveer Varnika,"70 Suilven Street, Los Angeles"
172,Furqan's,18944017117,18307110172@sjtu.edu.cn,Chinagozim Ayona,"985 Aidrian Avenue, Guangzhou"
173,Cadwyn Books,18664209634,18307110173@sjtu.edu.cn,Jonothan Uwadiale,"737 Morgan-L Road, Buenos Aires"
174,Medeea House,18969119515,18307110174@sjtu.edu.cn,Hanvitha Maureece,"316 Anzelika Street, Sao Paulo"
175,Vanilla Books,19186488022,18307110175@sjtu.edu.cn,Fen Ji,"353 Khayla-M Avenue, Hong Kong"
176,Ruby-Grace's,18964772575,18307110176@sjtu.edu.cn,Sherifa Tobiasz,"375 Eden-Lov Road, Paris"
177,Bonnie-Leigh Press,18911889290,18307110177@sjtu.edu.cn,Tamur Brigid,"826 Enija Lane, Los Angeles"
178,Silisitino Books,19182316166,18307110178@sjtu.edu.cn,Emy Lyndsay,"930 Wynter-R Road, Shanghai"
179,Chey Books,15888915915,18307110179@sjtu.edu.cn,Jamie-Lucas Roberts,"843 Sewin Lane, Beijing"
180,Orflaith Press,18983251467,18307110180@sjtu.edu.cn,Marty Humna,"513 Ailigael Road, Delhi"
181,Logyn's,19184808434,18307110181@sjtu.edu.cn,Tess Harper-May,"56 Mengyao Lane, Seoul"
182,Lucie-Jane Books,13764519089,18307110182@sjtu.edu.cn,Maeva Jayden-Mckenzie,"290 Arys Lane, London"
183,Strone House,15815365521,18307110183@sjtu.edu.cn,Locklyn Popie,"866 Roka Road, Paris"
184,Hamzh's,18613908995,18307110184@sjtu.edu.cn,Dougall Ava-Fatima,"593 Laken Avenue, Manila"
185,Jase-James House,19115183041,18307110185@sjtu.edu.cn,Maesen Cyrena,"496 Harrisso Street, Bangkok"
186,Kaziah's,18976997205,18307110186@sjtu.edu.cn,Dren Rozmin,"282 Steven-P Street, Shanghai"
187,Kavin Press,18648154155,18307110187@sjtu.edu.cn,Tarn Scheherazade,"173 Zakariyy Lane, Buenos Aires"
188,Caylin Press,18641298486,18307110188@sjtu.edu.cn,Mac Xinying,"801 Demari Road, Sao Paulo"
189,Ekman's,18972345807,18307110189@sjtu.edu.cn,Rowan Allayah,"839 Maiyah Road, Manila"
190,Riley Books,15882763321,18307110190@sjtu.edu.cn,Alhora Reus,"256 Kyle Lane, Seoul"
191,Cara-Leigh's,15840752868,18307110191@sjtu.edu.cn,Rei Artair,"564 Bonnita Street, London"
192,Feleena House,19128986869,18307110192@sjtu.edu.cn,Gabriela Bear,"543 Mollie-M Lane, Sao Paulo"
193,Hamidah House,19138940254,18307110193@sjtu.edu.cn,Ana-Veronica Callum-Scott,"223 Corwin Avenue, Hong Kong"
194,Freigha Press,18956710657,18307110194@sjtu.edu.cn,Abbie-Rayne Gurdas,"531 Arvani Lane, Tokyo"
195,Giulietta Books,19195944098,18307110195@sjtu.edu.cn,Meripa Bonnie-Mae,"460 Vendhan Avenue, Madrid"
196,Lizabet House,19162170172,18307110196@sjtu.edu.cn,Lexi-May Maisie-Jane,"605 Shania-M Street, Guangzhou"
197,Tailer-Jay Books,13743193152,18307110197@sjtu.edu.cn,Tibor Xixian,"769 Sachleen Avenue, London"
198,Arita House,19163819470,18307110198@sjtu.edu.cn,Eliel Shameel,"949 Xiangle Avenue, Madrid"
199,Chian's,15852042123,18307110199@sjtu.edu.cn,Seota Catriana,"852 Dharach Avenue, Tokyo"
200,Yotham Books,15898473836,18307110200@sjtu.edu.cn,Marek Ilah,"43 Mascen Road, Shanghai"
201,Izaiah Press,18921504232,18307110201@sjtu.edu.cn,Kohdyn Peehu,"233 Ahlee-Gr Lane, Seoul"
202,Alessandro Books,18614232960,18307110202@sjtu.edu.cn,Kellor Hasana,"693 Kaicie Road, Hong Kong"
203,Koby-Joe's,13743219821,18307110203@sjtu.edu.cn,Kristof Ashanti,"454 Aiddah Street, London"
204,Emlyn Press,19189415350,18307110204@sjtu.edu.cn,Yat Evabelle,"81 Callum Avenue, Guangzhou"
205,Golibe's,15877979708,18307110205@sjtu.edu.cn,Kaixi Athol,"505 Wai-Kit Street, Beijing"
206,Kam House,19119955426,18307110206@sjtu.edu.cn,Rain Raheel,"106 Madelein Street, Paris"
207,Danielo Press,15845127329,18307110207@sjtu.edu.cn,Ekin Iyla,"539 Andile Street, Sao Paulo"
208,Andie Press,18913216366,18307110208@sjtu.edu.cn,Mackayla Tiffany,"841 Meline Avenue, Seoul"
209,Dangelo House,13791321521,18307110209@sjtu.edu.cn,Samuil Misbah,"438 Maisri Lane, Los Angeles"
210,Rylyn House,18990457011,18307110210@sjtu.edu.cn,Eliotte Millimai,"313 Khalia Street, Guangzhou"
211,Daithi's,19148843768,18307110211@sjtu.edu.cn,Francesco Marnja,"859 Teraysa- Road, Sao Paulo"
212,Diton Books,18666717675,18307110212@sjtu.edu.cn,Colla Cahlie,"24 Hayder Street, Delhi"
213,Ebba Press,15814266998,18307110213@sjtu.edu.cn,Amalea Uchechukwu,"284 Tesiwaju Road, Tokyo"
214,Skye-Jane's,19187438218,18307110214@sjtu.edu.cn,Savea Rory-Ronald,"720 Timmothy Avenue, Sao Paulo"
215,Param Books,13739578686,18307110215@sjtu.edu.cn,Ava-Rae Eireyn,"271 Boex Lane, Shanghai"
216,Aarran Press,15888038226,18307110216@sjtu.edu.cn,Samantha Kairn,"831 Lukuz Lane, Sao Paulo"
217,Anselm Press,19186785118,18307110217@sjtu.edu.cn,Aalayah Annie-Mai,"982 Gardeis Lane, Guangzhou"
218,Lenko House,18630631368,18307110218@sjtu.edu.cn,Edee Doaa,"667 Neve Street, Tokyo"
219,Azhikeghauche Books,18980006627,18307110219@sjtu.edu.cn,Giorgie Ellie-Anna,"374 Leyah Road, Paris"
220,Mia Press,18648268899,18307110220@sjtu.edu.cn,Murran Aubray,"554 Harper-E Avenue, Guangzhou"
221,Maaria House,19135283476,18307110221@sjtu.edu.cn,Sherry-Lee Danvin,"502 Sumant Lane, Beijing"
222,Korede Press,15879221074,18307110222@sjtu.edu.cn,Owen-James Violet,"93 Aleina Road, Shanghai"
223,Emi-Leigh Press,13771052559,18307110223@sjtu.edu.cn,Analiyah Teo,"614 Inwelle Lane, Madrid"
224,Evaahn's,15826709081,18307110224@sjtu.edu.cn,Levi-Jayde Red,"456 Ruby-Mae Lane, London"
225,Mariann's,18969029679,18307110225@sjtu.edu.cn,Daraich Radvilas,"487 Ma'ruf Lane, Manila"
226,Sheamus's,18687373660,18307110226@sjtu.edu.cn,Zaythen Ashlin,"14 Harlem Road, Hong Kong"
227,Faik Books,19183933078,18307110227@sjtu.edu.cn,Achintya Ahlee-Grace,"431 Maryrose Lane, Bangkok"
228,Lorelle House,18633840892,18307110228@sjtu.edu.cn,Demah Iason,"63 Arvis Road, Buenos Aires"
229,Samin Books,19113717583,18307110229@sjtu.edu.cn,Kacey Sierra,"406 Arayah Lane, Beijing"
230,Ryan-Riley's,15863381083,18307110230@sjtu.edu.cn,Anokh Orianne,"703 Destiny Street, Buenos Aires"
231,Allyanna's,19164726546,18307110231@sjtu.edu.cn,Wolfie Anousha,"999 Rhome Street, Shanghai"
232,Martyna House,19115907154,18307110232@sjtu.edu.cn,Albie-James Roberto,"393 Leonie Road, London"
233,Kadhem's,18663941695,18307110233@sjtu.edu.cn,Adea Caddell,"811 Khalyl Lane, Seoul"
234,Sukmani Press,13714336482,18307110234@sjtu.edu.cn,Saphire Cayrn,"353 Arun Lane, Guangzhou"
235,Biwar's,18644589325,18307110235@sjtu.edu.cn,Aarv Keona,"395 Yuxin Lane, Paris"
236,Harshil Press,19161964502,18307110236@sjtu.edu.cn,Benni Alec-Andrew,"742 Lilli-Ro Road, Buenos Aires"
