,username,name,sex,phone,email,address,vip
18,KasparasYr,Kasparas Tita,Female,18920201512,18307110018@fudan.edu.cn,"Randin Avenue, Shanghai",0
19,TrullicO,Trulli Sienna-Lily,Female,18952010084,18307110019@fudan.edu.cn,"Chelse Avenue, Shanghai",1
20,Daney5i,Daney Ishal,Female,15832435559,18307110020@fudan.edu.cn,"Eleyna Street, Shanghai",0
21,Jessie-RoseKW,Jessie-Rose Azhan,Male,19148295569,18307110021@fudan.edu.cn,"Jay-Pe Street, Buenos Aires",1
22,RaamizJD,Raamiz Sendy,Male,15879269241,18307110022@fudan.edu.cn,"Rhiver Road, Beijing",1
23,MerrinlD,Merrin Adejinmi,Female,13722712891,18307110023@fudan.edu.cn,"Gulian Road, Hong Kong",0
24,Ruqaiyahqi,Ruqaiyah Sariya,Female,13797432451,18307110024@fudan.edu.cn,"Clyde Lane, Guangzhou",1
25,Wanjiku3P,Wanjiku Casey-Anne,Female,15895695026,18307110025@fudan.edu.cn,"Kagan Road, Delhi",1
26,SaffronPY,Saffron Magnie,Male,15874744188,18307110026@fudan.edu.cn,"Sabri Lane, Delhi",0
27,SukainabM,Sukaina Kayla-May,Female,13756629400,18307110027@fudan.edu.cn,"Aaliya Lane, Bangkok",1
28,Vyoletqb,Vyolet Elwin,Female,19124823844,18307110028@fudan.edu.cn,"Toni-L Road, London",0
29,Bjorngg,Bjorn Roisin,Male,18981684959,18307110029@fudan.edu.cn,"Freyah Street, Buenos Aires",1
30,Hikaru5s,Hikaru Addley,Male,19192388431,18307110030@fudan.edu.cn,"Rubi-G Street, Bangkok",1
31,Parmaveerrd,Parmaveer Enja,Male,15844714331,18307110031@fudan.edu.cn,"Noorza Lane, Manila",1
32,Lochanss,Lochan Kain,Male,18687143082,18307110032@fudan.edu.cn,"Rares- Avenue, Delhi",0
33,YadhevHO,Yadhev Adonis,Male,18996111702,18307110033@fudan.edu.cn,"Casyn Street, Guangzhou",0
34,Ellie-MeiHN,Ellie-Mei Houd,Male,18923306120,18307110034@fudan.edu.cn,"Kaern Street, Hong Kong",0
35,NicodemusL4,Nicodemus Lakhan,Female,15883774504,18307110035@fudan.edu.cn,"Nola-B Road, Delhi",0
36,Kierazb,Kiera Alyanna,Male,19160594254,18307110036@fudan.edu.cn,"Christ Avenue, London",1
37,Dorranzp,Dorran Danai,Female,18634523261,18307110037@fudan.edu.cn,"Evaa Road, London",1
38,Rhiannah1D,Rhiannah Rohaan,Female,18642277870,18307110038@fudan.edu.cn,"Joey Road, Hong Kong",1
39,TylozS,Tylo Avni,Female,18961026904,18307110039@fudan.edu.cn,"Coria Lane, Hong Kong",1
40,NelihJ,Neli Carly-Dee,Female,18641974543,18307110040@fudan.edu.cn,"Prenti Avenue, Hong Kong",0
41,Kara-Ann7A,Kara-Ann Gary,Female,15815779233,18307110041@fudan.edu.cn,"Chriss Road, Tokyo",0
42,TemujinlU,Temujin Cyrus,Female,18653958616,18307110042@fudan.edu.cn,"Ronica Lane, Seoul",1
43,Safa-Noor8Q,Safa-Noor Ansharah,Female,19191905203,18307110043@fudan.edu.cn,"Devynn Avenue, Buenos Aires",1
44,Blathnaidks,Blathnaid Keyarah,Male,18936584350,18307110044@fudan.edu.cn,"Rhuna Avenue, Delhi",1
45,ArylaNC,Aryla Sheva,Male,19162025434,18307110045@fudan.edu.cn,"Maiah Avenue, Los Angeles",0
46,Annaisexa,Annaise Raven,Male,18635109630,18307110046@fudan.edu.cn,"Aidan- Street, Los Angeles",0
47,Linkoln9e,Linkoln Georgia-May,Male,18629902303,18307110047@fudan.edu.cn,"Maryel Road, Guangzhou",1
48,ToluwanimihF,Toluwanimi Jasmaine,Female,18678844591,18307110048@fudan.edu.cn,"Kaycie Road, Tokyo",0
49,Ngozichukwu7F,Ngozichukwu Jessica-Jan,Male,19130536234,18307110049@fudan.edu.cn,"Mayia Lane, Shanghai",0
50,KiyanRT,Kiyan Luca-Gabriel,Male,18967143421,18307110050@fudan.edu.cn,"Callie Street, Beijing",0
51,DeaconG2,Deacon Ro,Male,18625389573,18307110051@fudan.edu.cn,"Cadin Street, London",1
52,Sofia-Ava6s,Sofia-Ava Danial,Male,19135918975,18307110052@fudan.edu.cn,"Lillie Avenue, Shanghai",1
53,ElimWB,Elim Zirha,Female,15879086399,18307110053@fudan.edu.cn,"Brynja Avenue, Seoul",0
54,WardahB2,Wardah Dickson,Male,15897293343,18307110054@fudan.edu.cn,"Alaatt Road, Shanghai",0
55,Aurora-Marie7k,Aurora-Marie Angeliki-Electra,Male,13735589687,18307110055@fudan.edu.cn,"Taye Avenue, Paris",0
56,Robyn-LeighAK,Robyn-Leigh Demii,Male,18946920248,18307110056@fudan.edu.cn,"Raai Street, Seoul",1
57,Ciara-RoserI,Ciara-Rose Elli-Anne,Female,15820498263,18307110057@fudan.edu.cn,"Antoni Street, Shanghai",1
58,Aayansh3u,Aayansh Aleenah,Female,13795689278,18307110058@fudan.edu.cn,"Prasha Road, Sao Paulo",1
59,Egan2l,Egan Daryll,Male,15810029872,18307110059@fudan.edu.cn,"Rhaia Road, Tokyo",0
60,SummaiyaJa,Summaiya Enzun,Female,18680350793,18307110060@fudan.edu.cn,"Avyukt Road, Paris",0
61,Raffay33,Raffay Motiejus,Female,19168630191,18307110061@fudan.edu.cn,"Riadh Road, Guangzhou",1
62,Ellie-AnnBj,Ellie-Ann Kaddence,Male,18933397366,18307110062@fudan.edu.cn,"Alysti Avenue, Los Angeles",1
63,RinsinuolaoluwapG,Rinsinuolaoluwa Saviero,Female,19117070846,18307110063@fudan.edu.cn,"Indya Road, Hong Kong",0
64,LottyGm,Lotty Hanli,Male,19179629120,18307110064@fudan.edu.cn,"Calven Street, Madrid",0
65,Mikkeltn,Mikkel Suguna,Male,18629685864,18307110065@fudan.edu.cn,"Mashiy Lane, Tokyo",1
66,IslammQ,Islam Marcellas,Male,13790181693,18307110066@fudan.edu.cn,"Lewis- Road, Tokyo",0
67,BurtBO,Burt Romans,Male,15880480090,18307110067@fudan.edu.cn,"Aimee- Road, London",1
68,ChealacP,Cheala Pacey,Female,13776934214,18307110068@fudan.edu.cn,"Jyoti Avenue, Paris",0
69,NoorzahraaEJ,Noorzahraa Neko,Female,18684546997,18307110069@fudan.edu.cn,"Lottie Street, Beijing",0
70,Tiarraws,Tiarra Mahrus,Female,13734621011,18307110070@fudan.edu.cn,"Moyoso Road, Delhi",0
71,Jaiden-Leeas,Jaiden-Lee Darron,Female,15836769865,18307110071@fudan.edu.cn,"Madisy Street, Seoul",0
72,ManuellaSp,Manuella Lilly-Margarat,Female,13757923307,18307110072@fudan.edu.cn,"Berken Lane, Tokyo",1
73,VictorinenT,Victorine Sirana,Female,18911466159,18307110073@fudan.edu.cn,"Ames Lane, Guangzhou",1
74,SandieBA,Sandie Kayden-Scott,Male,19159366638,18307110074@fudan.edu.cn,"Hala Avenue, Shanghai",0
75,Hayley-Annk2,Hayley-Ann Ireoluwa,Female,18641090389,18307110075@fudan.edu.cn,"Reggie Lane, Seoul",1
76,Naiara5P,Naiara Jed-Jnr,Male,19140686683,18307110076@fudan.edu.cn,"Lonnie Avenue, Delhi",0
77,PerrieJK,Perrie Darcie,Male,15823833590,18307110077@fudan.edu.cn,"Collet Road, Madrid",0
78,Albha-RayneHB,Albha-Rayne Sancho,None,18916311684,18307110078@fudan.edu.cn,"Caissi Lane, Madrid",1
79,Leonidnk,Leonid Airis,Female,18957114974,18307110079@fudan.edu.cn,"Winney Avenue, Los Angeles",1
80,Swami9C,Swami Amae,Female,19158672300,18307110080@fudan.edu.cn,"Bruin Street, Manila",0
81,SumeerHX,Sumeer Marioara,Female,13773799678,18307110081@fudan.edu.cn,"Flouri Lane, Beijing",0
82,Lia-Roseah,Lia-Rose Mickel,Female,13759993372,18307110082@fudan.edu.cn,"Emiola Road, Madrid",1
83,Keeranll,Keeran Alekss,Female,15882663603,18307110083@fudan.edu.cn,"Laihla Lane, Paris",1
84,RamonalY,Ramona Branwen,Male,18626658379,18307110084@fudan.edu.cn,"Kansir Avenue, Shanghai",1
85,Jaad4p,Jaad Madalina,Male,15876516066,18307110085@fudan.edu.cn,"Lamaar Road, Beijing",1
86,JordanaP8,Jordana Queeny,Male,13793156931,18307110086@fudan.edu.cn,"Titani Street, Beijing",0
87,Macie-Anneek,Macie-Anne Lacie-J,Male,15824225101,18307110087@fudan.edu.cn,"Scotia Lane, London",0
88,GilianaEU,Giliana Aime,Female,18962823426,18307110088@fudan.edu.cn,"Bryden Avenue, Sao Paulo",0
89,Blaikw8,Blaik Rohun,Male,18934013475,18307110089@fudan.edu.cn,"Tiime Street, Bangkok",0
90,SyrietQ,Syrie Jessicah,Male,13778099980,18307110090@fudan.edu.cn,"Hinako Lane, Beijing",1
91,Temujinc1,Temujin Alison,Male,15833127706,18307110091@fudan.edu.cn,"Asliha Street, London",1
92,Evanie1j,Evanie Sofia-Florence,Female,19187438440,18307110092@fudan.edu.cn,"Anis Road, Buenos Aires",0
93,KaiceyhZ,Kaicey Riley-Mae,Male,19196130133,18307110093@fudan.edu.cn,"Ronett Lane, Manila",1
94,Ellie-Louisegu,Ellie-Louise Alex-Sandra,Male,15876337233,18307110094@fudan.edu.cn,"Endijs Street, Beijing",1
95,ShawmanHv,Shawman Mohiuddin,Male,19183165361,18307110095@fudan.edu.cn,"Haoyun Lane, Tokyo",1
96,AirynT5,Airyn Mairead-Jane,Male,19150575479,18307110096@fudan.edu.cn,"Ehan Street, Tokyo",1
97,ArlinVo,Arlin Yanday,Female,19151955797,18307110097@fudan.edu.cn,"Freddi Street, Los Angeles",1
98,Polaqz,Pola Aalifa,Male,15827302979,18307110098@fudan.edu.cn,"Wladys Road, Delhi",1
99,ClydeAT,Clyde Kippen,Male,15825570397,18307110099@fudan.edu.cn,"Hester Road, Los Angeles",1
100,MacieNe,Macie Kyarran,Female,13719092625,18307110100@fudan.edu.cn,"Rithya Street, Delhi",1
101,BasimlY,Basim Taylor-Louise,Female,18649809670,18307110101@fudan.edu.cn,"Jovann Road, Buenos Aires",1
102,EzinneVQ,Ezinne Amna-Maria,Male,15866880844,18307110102@fudan.edu.cn,"Delina Street, Guangzhou",0
103,LoundingS,Loundin Charitini,Female,18616296008,18307110103@fudan.edu.cn,"Arlon Street, Beijing",0
104,Myla-Rose5S,Myla-Rose Ankith,Male,15889177063,18307110104@fudan.edu.cn,"Calum Avenue, Hong Kong",1
105,DekerTy,Deker Alanieta,Male,15899073237,18307110105@fudan.edu.cn,"Laris Street, Hong Kong",1
106,SafiyahQY,Safiyah Tobe,Male,13737598224,18307110106@fudan.edu.cn,"Hunter Avenue, Madrid",1
107,IfiyekE,Ifiye Aarif,Male,19197831100,18307110107@fudan.edu.cn,"Tod Road, Buenos Aires",1
108,Kagen5,Kage Siver,Female,15894838012,18307110108@fudan.edu.cn,"Sarany Avenue, Hong Kong",1
109,LoreleitF,Lorelei Pyper-Leigh,Female,15893594734,18307110109@fudan.edu.cn,"Aidynn Lane, Guangzhou",1
110,LanglentG,Langlen Abbey-Leigh,Male,18916069114,18307110110@fudan.edu.cn,"Darya Lane, Shanghai",0
111,WendellTv,Wendell Sidharth,Female,18927593056,18307110111@fudan.edu.cn,"Kasiey Road, Sao Paulo",1
112,ReinasLx,Reinas Emeli-Louize,None,19133571699,18307110112@fudan.edu.cn,"Gurdas Lane, Los Angeles",1
113,AstileGn,Astile Eiman,Female,13723060963,18307110113@fudan.edu.cn,"Sorsha Avenue, Paris",0
114,LukneOt,Lukne Usaimeen,None,18683076408,18307110114@fudan.edu.cn,"Kallie Street, Buenos Aires",1
115,Pixie-Rosevn,Pixie-Rose Laci-Lee,Male,13735204426,18307110115@fudan.edu.cn,"Yacer Avenue, Madrid",1
116,ArlonwX,Arlon Yasar,Female,13743013030,18307110116@fudan.edu.cn,"Gerald Avenue, Tokyo",1
117,Livia-Grace2D,Livia-Grace Kenziha,Female,18670578384,18307110117@fudan.edu.cn,"Lannan Road, Buenos Aires",0
118,Amellia-LillyVk,Amellia-Lilly Frankie-Jo,Male,15838178319,18307110118@fudan.edu.cn,"Sohail Avenue, London",1
119,Baxterlv,Baxter Gisele,Male,18685889020,18307110119@fudan.edu.cn,"Harman Street, Delhi",0
120,Loghainm8,Loghain Modestas,Female,19182325662,18307110120@fudan.edu.cn,"Hannah Avenue, Los Angeles",1
121,Shiofrakw,Shiofra Dekota,Female,15899139632,18307110121@fudan.edu.cn,"Seffi Avenue, Beijing",1
122,Izzyi1,Izzy Arwaa,Female,15893669504,18307110122@fudan.edu.cn,"Lexi-G Road, Shanghai",1
123,KeeviSd,Keevi Soarcha,Female,19169727897,18307110123@fudan.edu.cn,"Mowenn Road, Delhi",1
124,CeireMj,Ceire Christos,Female,18960616161,18307110124@fudan.edu.cn,"Wylde Lane, Tokyo",0
125,Molly-Annezn,Molly-Anne Laceymai,Male,13783718388,18307110125@fudan.edu.cn,"Eilah Lane, Shanghai",1
126,Annelicx,Anneli Summerleigh,Female,18656263681,18307110126@fudan.edu.cn,"Kahle Lane, London",1
127,Kody-Leeb5,Kody-Lee Lucie,Female,19185017208,18307110127@fudan.edu.cn,"Krysti Road, Beijing",0
128,Osose9Q,Osose Ai,Female,13746647782,18307110128@fudan.edu.cn,"Thasin Street, Guangzhou",0
129,Chanelcb,Chanel Eleftheria,Male,18912161364,18307110129@fudan.edu.cn,"Affan Street, Delhi",0
130,Chelsea-Roseye,Chelsea-Rose Eduards,Female,15850893912,18307110130@fudan.edu.cn,"Rosali Avenue, Sao Paulo",1
131,Derrin-LeeXL,Derrin-Lee Carly-Jade,Female,18663376029,18307110131@fudan.edu.cn,"Katiea Lane, Sao Paulo",0
132,HuraUz,Hura Roen,Male,19176159449,18307110132@fudan.edu.cn,"Umme-H Lane, Bangkok",0
133,Suhaanii0,Suhaani Ayushi,Female,15811919721,18307110133@fudan.edu.cn,"Pradni Street, Bangkok",1
134,Meara24,Meara Kadosa,Female,15892830735,18307110134@fudan.edu.cn,"Esmee Avenue, Guangzhou",1
135,Boyewt,Boye Tiberius,Female,13723586307,18307110135@fudan.edu.cn,"Leylan Lane, Hong Kong",0
136,Pjw5,Pj Maab,Male,18623699849,18307110136@fudan.edu.cn,"Xinyan Road, Manila",1
137,RauridhGk,Rauridh Alayiah,Male,18612125939,18307110137@fudan.edu.cn,"Elmae Road, Bangkok",1
138,JarellX7,Jarell Tiki,None,19186814223,18307110138@fudan.edu.cn,"Unda Street, Shanghai",0
139,RiverU6,River Gianni,Male,18644835137,18307110139@fudan.edu.cn,"Willow Avenue, Manila",0
140,JuhaKi,Juha David-Nelson,Male,19195903691,18307110140@fudan.edu.cn,"Meaha Lane, Delhi",0
141,GunesCP,Gunes Adetomiwa,Male,13787298599,18307110141@fudan.edu.cn,"Annale Road, Tokyo",1
142,LochlainTR,Lochlain Lagrace,Female,13760674444,18307110142@fudan.edu.cn,"Karlei Road, Los Angeles",1
143,Suriana3S,Suriana Layla-Grace,Female,18612558754,18307110143@fudan.edu.cn,"Roxas Street, Los Angeles",0
144,Hashim9Q,Hashim Rosalia,Female,15869572954,18307110144@fudan.edu.cn,"Isah Street, Shanghai",0
145,Dallin47,Dallin Elin,Male,19157410638,18307110145@fudan.edu.cn,"Kyrene Avenue, Tokyo",0
146,Lallyyf,Lally Shouptik,Male,18654955728,18307110146@fudan.edu.cn,"Maci-L Street, Sao Paulo",1
147,ChepinE,Chepi Colm,Male,18678831304,18307110147@fudan.edu.cn,"Amazon Avenue, Manila",1
148,IliyaAe,Iliya Zyrina,Male,18642634831,18307110148@fudan.edu.cn,"Kaitly Road, Bangkok",0
149,Boa88,Boa Temitoritse,Female,15859033818,18307110149@fudan.edu.cn,"Mart Avenue, Seoul",1
150,HarjeetYx,Harjeet Drishti,Female,18940859485,18307110150@fudan.edu.cn,"Jinan Lane, Buenos Aires",0
151,Aava-MayT5,Aava-May Peyton-James,Female,18693313759,18307110151@fudan.edu.cn,"Kenlii Avenue, Hong Kong",1
152,KarennaWd,Karenna Olivia-Lillie,Male,13711793852,18307110152@fudan.edu.cn,"Yatish Road, Sao Paulo",1
153,Lilly-BethBU,Lilly-Beth Belle,Male,19198143220,18307110153@fudan.edu.cn,"Crista Lane, Bangkok",0
154,XinyanAu,Xinyan Anaelechi,Male,13738747397,18307110154@fudan.edu.cn,"Sarja Road, Los Angeles",0
155,SarayuI2,Sarayu J'aimee,Female,13725976645,18307110155@fudan.edu.cn,"Honey- Street, Sao Paulo",1
156,UmutMY,Umut Scarlytt,Female,18964538917,18307110156@fudan.edu.cn,"Sheyi Avenue, Manila",0
157,Kinsey7g,Kinsey Nula,Male,13768429963,18307110157@fudan.edu.cn,"Agatha Road, Madrid",1
158,RyllanC1,Ryllan Rachael-Anne,Female,18987550327,18307110158@fudan.edu.cn,"Thalei Avenue, Manila",0
159,AgampreetTB,Agampreet Kiahanna,Male,19141753608,18307110159@fudan.edu.cn,"Nya Street, Guangzhou",0
160,AntoniocU,Antonio Fraser-Lee,Male,18968253015,18307110160@fudan.edu.cn,"Fjonn Road, Hong Kong",0
161,Miley-LouiseF8,Miley-Louise Joe-Alexander,Female,19183288792,18307110161@fudan.edu.cn,"An Lane, Tokyo",1
162,Bryony4H,Bryony Aurora-Reign,Male,19125431608,18307110162@fudan.edu.cn,"Haleem Street, Beijing",0
163,Lola-Rose0n,Lola-Rose Straina,Male,18932025802,18307110163@fudan.edu.cn,"Kleopa Street, Seoul",1
164,Harper-EveOM,Harper-Eve Kasper,Female,15852387599,18307110164@fudan.edu.cn,"Ailsa- Road, Manila",0
165,JamesonEK,Jameson Kamsirio,Female,19169156872,18307110165@fudan.edu.cn,"Drisht Lane, Hong Kong",0
166,Alan-JamesGU,Alan-James Rama,None,13766947510,18307110166@fudan.edu.cn,"Tejasw Street, Los Angeles",0
167,ZivaxV,Ziva Cidad,None,15827815099,18307110167@fudan.edu.cn,"Samuel Road, Los Angeles",1
168,Lillianwu,Lillian Gurbaaz,Female,19159937545,18307110168@fudan.edu.cn,"Novada Street, Bangkok",1
169,EzmepE,Ezme Morgan-Jo,Female,15819375912,18307110169@fudan.edu.cn,"Saeed Road, Tokyo",1
170,Kady-Leighjg,Kady-Leigh Emmi-Rose,Male,13749495071,18307110170@fudan.edu.cn,"Jowita Road, Manila",1
171,OluwasemilooretV,Oluwasemiloore Lilave,Male,13769791424,18307110171@fudan.edu.cn,"Emi-Le Avenue, Seoul",1
172,Caddie-ElizabethBD,Caddie-Elizabeth John-Thomas,Female,18636574733,18307110172@fudan.edu.cn,"Krissi Lane, Shanghai",1
173,PrecieuseSZ,Precieuse Adione,Female,15899181176,18307110173@fudan.edu.cn,"Bobbey Avenue, Guangzhou",1
174,ZilanW4,Zilan Sarah-Marie,Female,19158806645,18307110174@fudan.edu.cn,"Kearan Lane, Madrid",0
175,Mehad4q,Mehad Shahbaz,Male,18691045405,18307110175@fudan.edu.cn,"Ashpre Avenue, Bangkok",1
176,AlzahrajH,Alzahra Conlon,Male,15897042468,18307110176@fudan.edu.cn,"Maisie Avenue, Sao Paulo",1
177,LyviaYR,Lyvia Swithy,Male,19145153803,18307110177@fudan.edu.cn,"Indi-R Lane, Bangkok",0
178,GraceijP,Gracei Yigit,Male,18987818595,18307110178@fudan.edu.cn,"Ky Road, Shanghai",1
179,BaranHj,Baran Louka,Male,15893830779,18307110179@fudan.edu.cn,"Satvir Lane, Beijing",0
180,Kiyaanje,Kiyaan Mollie-Jean,Female,19185104777,18307110180@fudan.edu.cn,"Archer Road, Buenos Aires",1
181,ArlancB,Arlan Navuri,Male,18958363154,18307110181@fudan.edu.cn,"Kahlo Avenue, Madrid",1
182,AmericoHG,Americo Indi-Violet,Male,15848008435,18307110182@fudan.edu.cn,"Torben Avenue, Paris",1
183,Emma-FlaviaP7,Emma-Flavia Thamidu,Male,18912858477,18307110183@fudan.edu.cn,"Haahri Road, Bangkok",0
184,Nevany8,Nevan Zereen,Male,19176500262,18307110184@fudan.edu.cn,"Isla-J Lane, London",1
185,LeyghlynneKA,Leyghlynne Aleina,None,18997194040,18307110185@fudan.edu.cn,"Arnold Lane, Madrid",1
186,Sabaaiy,Sabaa Neev,Male,19175297545,18307110186@fudan.edu.cn,"Jinxin Road, Seoul",0
187,EfosaOy,Efosa Charlotte-Jenny,Male,18656179833,18307110187@fudan.edu.cn,"Dempse Avenue, Buenos Aires",1
188,KudzaisheQs,Kudzaishe Aimar,Female,15879201312,18307110188@fudan.edu.cn,"Balazs Lane, Manila",0
189,AyslahI,Aysla Oghenetega,Male,13789016587,18307110189@fudan.edu.cn,"Devdak Avenue, Bangkok",0
190,Shelby-LeighUY,Shelby-Leigh Peggi,Male,15848075152,18307110190@fudan.edu.cn,"Vakare Street, Beijing",1
191,John-Leeow,John-Lee Lyra,Female,15848269423,18307110191@fudan.edu.cn,"Albert Lane, Paris",1
192,Iolausyw,Iolaus Joshua-James,Female,18919869817,18307110192@fudan.edu.cn,"Kaleel Lane, Guangzhou",0
193,MeadowSi,Meadow Shonah,Female,18959107908,18307110193@fudan.edu.cn,"Mabel Street, Guangzhou",0
194,DevahnZz,Devahn Mariliva,Male,15892371635,18307110194@fudan.edu.cn,"Naseem Road, Beijing",1
195,IbaPv,Iba Darach,Female,15875554148,18307110195@fudan.edu.cn,"Thalia Avenue, Madrid",0
196,XavierYK,Xavier Liibaan,Female,18639718780,18307110196@fudan.edu.cn,"Kaila- Avenue, Sao Paulo",0
197,Helen-AnneGb,Helen-Anne Asena,Female,13788383566,18307110197@fudan.edu.cn,"Gracie Street, Sao Paulo",1
198,Adriennehy,Adrienne Meishana,Female,18619157875,18307110198@fudan.edu.cn,"Yoan Lane, Manila",0
199,VaneesaBg,Vaneesa Amitoj,Male,15847427573,18307110199@fudan.edu.cn,"Aafi Lane, Tokyo",0
200,Tawnienq,Tawnie Annelie,Male,18973813924,18307110200@fudan.edu.cn,"Coplan Road, Beijing",0
201,Alex-Juniortz,Alex-Junior Hendrixx,Male,13758307028,18307110201@fudan.edu.cn,"Pandra Avenue, Hong Kong",0
202,Roland0C,Roland Raham,Female,15881633341,18307110202@fudan.edu.cn,"Riya Lane, Guangzhou",0
203,KerriganwG,Kerrigan Raistlin,Male,18681707696,18307110203@fudan.edu.cn,"Lynden Lane, Seoul",0
204,Ajuniir,Ajuni Nel,Female,18969082931,18307110204@fudan.edu.cn,"Maisar Street, Hong Kong",0
205,JinanII,Jinan Lealand-Roy,Female,15861225530,18307110205@fudan.edu.cn,"Nishaa Avenue, Sao Paulo",0
206,KaleishauG,Kaleisha Tayte,Male,19140569114,18307110206@fudan.edu.cn,"Ciara- Avenue, London",0
207,SamQU,Sam Kiannah,Female,18970800104,18307110207@fudan.edu.cn,"Marie Road, Hong Kong",0
208,RaylaG9,Rayla Giric,Male,15891017269,18307110208@fudan.edu.cn,"Corwin Avenue, Manila",0
209,ReidTF,Reid Aidyn,Female,18920853598,18307110209@fudan.edu.cn,"D'lana Street, Paris",1
210,Chardonnay-ZoeFo,Chardonnay-Zoe Dadiva,Male,13776547579,18307110210@fudan.edu.cn,"Firinn Street, Seoul",1
211,Aminatousj,Aminatou Jay-J,Female,19164867134,18307110211@fudan.edu.cn,"Tilly- Road, Madrid",1
212,BraddockQU,Braddock Nitul,Female,18941069555,18307110212@fudan.edu.cn,"Riva Avenue, Tokyo",0
213,FikayomizB,Fikayomi Emilka,Female,15833629061,18307110213@fudan.edu.cn,"Cayden Lane, Tokyo",1
214,ShouchengSX,Shoucheng Riley-Mae,Male,19113904213,18307110214@fudan.edu.cn,"Shanno Street, Delhi",1
215,SteffanHW,Steffan Jacx,Male,19144635695,18307110215@fudan.edu.cn,"Vratko Avenue, Tokyo",0
216,QuillonPJ,Quillon Mahan,Male,19117984196,18307110216@fudan.edu.cn,"Dollie Avenue, Sao Paulo",1
217,Daryl-Juniore0,Daryl-Junior Emperatriz,Male,15896711495,18307110217@fudan.edu.cn,"Simrat Road, Buenos Aires",1
218,KailaOO,Kaila Orlane,Female,19122964953,18307110218@fudan.edu.cn,"Junjie Lane, Bangkok",1
219,Thorvinyj,Thorvin Jorjie-Dawne,Female,15885929981,18307110219@fudan.edu.cn,"Joelie Street, Paris",0
220,Tommasodu,Tommaso Lylli-Jean,Female,13782060848,18307110220@fudan.edu.cn,"Casey- Road, Hong Kong",0
221,MemphisMx,Memphis Decca,Male,15851638525,18307110221@fudan.edu.cn,"Leytyn Street, Buenos Aires",0
222,Anthony-JoshuaD2,Anthony-Joshua Elenaria,Male,15847062171,18307110222@fudan.edu.cn,"Fallon Avenue, Paris",0
223,ChimemTK,Chimem Nargis,Female,19191553666,18307110223@fudan.edu.cn,"Wenjin Lane, Delhi",1
224,Izarayb,Izara Kezban,Female,18936205562,18307110224@fudan.edu.cn,"Steevi Lane, Bangkok",0
225,RogervW,Roger Melody-Marie,Female,18683049879,18307110225@fudan.edu.cn,"Cruz Avenue, Beijing",0
226,Trevorio,Trevor Dune,Female,13765264948,18307110226@fudan.edu.cn,"Roscoe Avenue, Paris",0
227,AribellepM,Aribelle Narmeses,Male,18928679646,18307110227@fudan.edu.cn,"Abderr Avenue, Los Angeles",0
228,Antonette8l,Antonette Stevie-Grace,Male,18980272185,18307110228@fudan.edu.cn,"Tanzee Road, Buenos Aires",0
229,JardinLL,Jardin Armanda,Male,13742262051,18307110229@fudan.edu.cn,"Krista Street, Buenos Aires",0
230,RizwanrR,Rizwan Hjalte,Male,19149694357,18307110230@fudan.edu.cn,"Ersion Lane, Madrid",1
