,name,phone_number,email,contacts,address
18,Zaine-Eddine Enterprise,13772491133,18307110018@sjtu.edu.cn,Razwanur Erland,"Poppi- Street, Shanghai"
19,Shriansh Enterprise,15881551675,18307110019@sjtu.edu.cn,Maizy-Rae Zayma,"Magdal Lane, Guangzhou"
20,Shanti Enterprise,18932707724,18307110020@sjtu.edu.cn,Anesha Franek,"Fallin Lane, Los Angeles"
21,Anshuman Enterprise,18661986836,18307110021@sjtu.edu.cn,Finty Amany,"Broden Avenue, Los Angeles"
22,Fadila Enterprise,18987748813,18307110022@sjtu.edu.cn,Kalven Lylia,"Joesy Road, Los Angeles"
23,Lima Enterprise,15826319677,18307110023@sjtu.edu.cn,Shiloh Mhyrren,"Olav Street, Buenos Aires"
24,Caylen Enterprise,19115673068,18307110024@sjtu.edu.cn,Arys Heike,"Titila Street, Hong Kong"
25,Micah Enterprise,13787078507,18307110025@sjtu.edu.cn,Ozkar Gibson,"De Avenue, Bangkok"
26,Coren Enterprise,19174605266,18307110026@sjtu.edu.cn,Chelsey Kegan,"Percev Avenue, Tokyo"
27,Al-Houssen Enterprise,18637768436,18307110027@sjtu.edu.cn,Demsae-Leigh Robert-John,"Eboset Avenue, Manila"
28,Meghna Enterprise,13766650051,18307110028@sjtu.edu.cn,Ayiesha Baylin,"Roseal Road, Paris"
29,Huan Enterprise,19127797431,18307110029@sjtu.edu.cn,Stephen-John Remii,"Deavin Avenue, Seoul"
30,Kenzay Enterprise,18692422859,18307110030@sjtu.edu.cn,Floyd Harla,"Jamee Avenue, Shanghai"
31,Jasima Enterprise,15816778898,18307110031@sjtu.edu.cn,Finbarr Sushmita,"Lauria Street, Manila"
32,Laylah-Mae Enterprise,15878554254,18307110032@sjtu.edu.cn,Keita Autumn-Skye,"Zonira Road, Guangzhou"
33,Havannah Enterprise,13791455566,18307110033@sjtu.edu.cn,Eimante Henry-James,"Johnth Avenue, Hong Kong"
34,Sundae Enterprise,15811175791,18307110034@sjtu.edu.cn,Mccauley Tommy-James,"Aadhir Lane, Bangkok"
35,Anishza Enterprise,18656815148,18307110035@sjtu.edu.cn,Maymie Kaevagh,"Libert Street, Shanghai"
36,Harriet Enterprise,13717919097,18307110036@sjtu.edu.cn,Baillie Rhys-Alexander,"Mollie Street, Tokyo"
37,Ruathy Enterprise,18653276555,18307110037@sjtu.edu.cn,Naimh Andrew-Junior,"Diljee Lane, Madrid"
38,Muireann Enterprise,18969356974,18307110038@sjtu.edu.cn,Rahen Alberta,"Saba Lane, Seoul"
39,Leticija Enterprise,19132588310,18307110039@sjtu.edu.cn,Darci-Anne Rayden,"Derren Avenue, Guangzhou"
40,Armaal Enterprise,18922064329,18307110040@sjtu.edu.cn,Khayden Ambroise,"Lexie- Avenue, Guangzhou"
41,Sampreet Enterprise,18979645415,18307110041@sjtu.edu.cn,Tuliya Jayden-Sean,"Johnro Lane, Beijing"
42,Albii Enterprise,13724706773,18307110042@sjtu.edu.cn,Billyjoe Kyee,"Ros Lane, Madrid"
43,Harmann Enterprise,13786571183,18307110043@sjtu.edu.cn,Aubree Charleigh-Ava,"Viraj Avenue, Guangzhou"
44,Brennan Enterprise,18937750749,18307110044@sjtu.edu.cn,Tosia Katelyn,"Parker Lane, Tokyo"
45,Mysie Enterprise,18974316771,18307110045@sjtu.edu.cn,Orrin Harloh,"Kiri Lane, London"
46,Erela Enterprise,18641838128,18307110046@sjtu.edu.cn,Chimkasiemobi Katie-Jean,"Mairia Street, Tokyo"
47,Aideen Enterprise,18672994889,18307110047@sjtu.edu.cn,Mohammad-Subhaan Erhiroghene,"Aalliy Avenue, Manila"
48,Daniel-Phoenix Enterprise,13780158571,18307110048@sjtu.edu.cn,Shara Seaneen,"Naly Street, Hong Kong"
49,Muireann Enterprise,18691900580,18307110049@sjtu.edu.cn,Lexie-Mai Leigh-Ell,"Munach Road, Madrid"
50,Alp Enterprise,18970690689,18307110050@sjtu.edu.cn,Arome Kiannah-Lee,"Mathew Street, London"
51,Styvin Enterprise,18622354882,18307110051@sjtu.edu.cn,Noe Jock,"Naomi Road, Delhi"
52,Aristarkh Enterprise,19126473422,18307110052@sjtu.edu.cn,Sean-Thomas Ari,"Zoniet Street, London"
53,Harper-Ivy Enterprise,15890572214,18307110053@sjtu.edu.cn,Nivirah Khairin,"Macken Lane, Madrid"
54,Ruby-Gillian Enterprise,15887306848,18307110054@sjtu.edu.cn,Keivah Chelsea,"Tegain Lane, Bangkok"
55,Ibiye-Karibo Enterprise,15861036900,18307110055@sjtu.edu.cn,Mhoirbheinn Ruby-Rae,"Airen Avenue, Madrid"
56,Hovan Enterprise,15826772533,18307110056@sjtu.edu.cn,Zakee Zulekha,"Sareen Road, Beijing"
57,Joanna Enterprise,18660078801,18307110057@sjtu.edu.cn,Marlie-May Rafi,"Torrun Avenue, Manila"
58,Vato Enterprise,18992500097,18307110058@sjtu.edu.cn,Kaesyn Lillian-Day,"Persep Street, London"
59,Tulisa-Louise Enterprise,15847743456,18307110059@sjtu.edu.cn,Soleece Lochlie,"Rostas Road, Buenos Aires"
60,Anaraa Enterprise,18992859837,18307110060@sjtu.edu.cn,Karli-Rose Vashisht,"Velyo Road, Beijing"
61,Cala Enterprise,18618113135,18307110061@sjtu.edu.cn,Leo-John Raevyn,"Senapo Lane, Los Angeles"
62,Zekai Enterprise,18957990742,18307110062@sjtu.edu.cn,Arju Ferdows,"Kasie- Avenue, Guangzhou"
63,Emese Enterprise,15857520025,18307110063@sjtu.edu.cn,Rosey Bradley-Joe,"Charle Street, Shanghai"
64,Tita Enterprise,15878497040,18307110064@sjtu.edu.cn,Rut Dantay,"Sun Street, Hong Kong"
65,Ady Enterprise,18631969951,18307110065@sjtu.edu.cn,Iolanthe Kailem,"Ashvih Avenue, Seoul"
66,Laython Enterprise,13773042944,18307110066@sjtu.edu.cn,Bahar Iustina,"Alysti Avenue, Los Angeles"
67,Eleonore Enterprise,19141588196,18307110067@sjtu.edu.cn,Tanwen Beige,"Amberl Street, London"
68,Ruqaiyyah Enterprise,18918648673,18307110068@sjtu.edu.cn,Kailong Vali,"Melisa Road, Beijing"
69,Helya Enterprise,19182140907,18307110069@sjtu.edu.cn,Koedyn Izabell,"Tenzin Road, Delhi"
70,Liusija Enterprise,15825998064,18307110070@sjtu.edu.cn,Awaab Aleks,"Kebron Avenue, Shanghai"
71,Nyall Enterprise,18699716213,18307110071@sjtu.edu.cn,Dj Blak,"Madiss Avenue, Madrid"
72,Roschdy Enterprise,15868555081,18307110072@sjtu.edu.cn,Haq-La Jawairia,"Effie- Lane, Shanghai"
73,Anaihita Enterprise,13715134059,18307110073@sjtu.edu.cn,Aayushi Namirah,"Kovil Road, Manila"
74,Suraya Enterprise,18669163118,18307110074@sjtu.edu.cn,Naja Faris-Deen,"Thomps Street, Bangkok"
75,Layanna Enterprise,19115832704,18307110075@sjtu.edu.cn,Laora Gwenn,"Callum Road, Paris"
76,Satine Enterprise,18649244511,18307110076@sjtu.edu.cn,Chimerika Radhav,"Fawwaz Road, Los Angeles"
77,Elias Enterprise,13782070948,18307110077@sjtu.edu.cn,Lilly-Lynn Sufyan,"Darius Lane, Hong Kong"
78,Kulan Enterprise,18675152059,18307110078@sjtu.edu.cn,Luka Bhrodi,"Kallie Avenue, Paris"
79,Berenika Enterprise,15817973399,18307110079@sjtu.edu.cn,James-Alan Maryanne,"Haleig Street, Hong Kong"
80,Anikha Enterprise,15864570222,18307110080@sjtu.edu.cn,Fathia Devlin,"Alishy Lane, Madrid"
81,Nyawira Enterprise,15839702671,18307110081@sjtu.edu.cn,Andel Ellia,"Hollie Road, Bangkok"
82,Donna-Marie Enterprise,18943214354,18307110082@sjtu.edu.cn,Yingfan Marley-Louise,"Braien Street, Seoul"
83,Elishka Enterprise,13774390295,18307110083@sjtu.edu.cn,Nidine Purity,"Petra Street, Hong Kong"
84,Jonasz-Darach Enterprise,15886160464,18307110084@sjtu.edu.cn,Sofia-Isla Quillon,"Ismail Road, Delhi"
85,Sufyan Enterprise,18935232465,18307110085@sjtu.edu.cn,Chidubem Zeyneb,"Uthman Street, Paris"
86,Mevillea Enterprise,15894100530,18307110086@sjtu.edu.cn,Aijia Tijan,"Jaimey Road, Tokyo"
87,Deco Enterprise,18652006609,18307110087@sjtu.edu.cn,Hiruki Marysa,"Rebekh Lane, Manila"
88,Jahanavi Enterprise,15847193156,18307110088@sjtu.edu.cn,Rheegan Poppi,"Letti Road, Manila"
89,Shayla-May Enterprise,15839531897,18307110089@sjtu.edu.cn,Saige Rhuaran,"Mya-Ja Street, London"
90,Tao Enterprise,18961430167,18307110090@sjtu.edu.cn,Mariyum Atley,"Lakain Lane, Sao Paulo"
91,Avana Enterprise,18914687865,18307110091@sjtu.edu.cn,Danny-Junior Sydney-Jane,"Caleb- Road, Los Angeles"
92,Nerio Enterprise,19137940688,18307110092@sjtu.edu.cn,Sunjata Styles,"Kori Lane, Beijing"
93,Naylan Enterprise,13725916840,18307110093@sjtu.edu.cn,Kovin Pollaidh,"Raji Lane, Tokyo"
94,Cyde Enterprise,18992449567,18307110094@sjtu.edu.cn,Sunshine Aiyla-Rose,"Ema Avenue, Beijing"
95,Ellie Enterprise,13767028537,18307110095@sjtu.edu.cn,Lainaigh Ula,"Tyler- Lane, Paris"
96,Rubi-Leigh Enterprise,15877165774,18307110096@sjtu.edu.cn,Laya Heather,"Aneela Avenue, Manila"
97,Georgee Enterprise,13715286701,18307110097@sjtu.edu.cn,Hameed Nial,"Saathv Lane, Delhi"
98,Kaci-Rose Enterprise,15823047779,18307110098@sjtu.edu.cn,Keegan-James Candace,"Sadeen Avenue, Manila"
99,Rhuiri Enterprise,15856830137,18307110099@sjtu.edu.cn,Meridith Paddy,"Kihara Street, Sao Paulo"
100,Tealoh Enterprise,15835836040,18307110100@sjtu.edu.cn,Diljaan Talisha-Lee,"Lucie- Avenue, Buenos Aires"
101,Keyara Enterprise,18681808267,18307110101@sjtu.edu.cn,Nikodem Lily-Lorraine,"Ameena Avenue, Shanghai"
102,Braegan Enterprise,19132256463,18307110102@sjtu.edu.cn,Courtney-Leigh Noah-Brave,"Travis Lane, Madrid"
103,Eva-May Enterprise,18917662112,18307110103@sjtu.edu.cn,Kaleia Lilah-Grace,"Libbee Street, Hong Kong"
104,Thea-Jessica Enterprise,13715289417,18307110104@sjtu.edu.cn,Keneolisa Mohiuddin,"Adwita Avenue, Beijing"
105,Elizabeta Enterprise,18669237121,18307110105@sjtu.edu.cn,Kamy Loriana,"Jordan Road, Delhi"
106,Ansumana Enterprise,19155737000,18307110106@sjtu.edu.cn,Rio Shahabuddin,"Tommy- Street, Beijing"
107,Zyah-Rose Enterprise,18668496802,18307110107@sjtu.edu.cn,Alanah-Faith Abdulmohsen,"Aneeq Road, Sao Paulo"
108,Jiri Enterprise,18652656052,18307110108@sjtu.edu.cn,Stewart Noor-Ul-Hudda,"Ronnin Road, Shanghai"
109,Koner Enterprise,19122009483,18307110109@sjtu.edu.cn,Semiljano Isla-Isabella,"Maisie Road, Tokyo"
110,Mhairi-Cath Enterprise,18675865041,18307110110@sjtu.edu.cn,Alhowra Kosma,"Jacob- Avenue, Sao Paulo"
111,Kenzie-Tyler Enterprise,15873365868,18307110111@sjtu.edu.cn,Braxon Kaio,"Navraj Lane, London"
112,Marika Enterprise,18624110947,18307110112@sjtu.edu.cn,Stevan Makanaka,"Clea Avenue, Hong Kong"
113,Coire Enterprise,15867451351,18307110113@sjtu.edu.cn,Lannan Harjas,"Reeo Street, Guangzhou"
114,Imiyah Enterprise,13750181502,18307110114@sjtu.edu.cn,Jaycee Mridula,"Shraz Road, Hong Kong"
115,Kasha Enterprise,13734363522,18307110115@sjtu.edu.cn,Piper-James Jujhar,"Amy-Ja Road, Buenos Aires"
116,Matvej Enterprise,18671595223,18307110116@sjtu.edu.cn,Ria Mcalister,"Imira- Avenue, Bangkok"
117,Shivraj Enterprise,18988278706,18307110117@sjtu.edu.cn,Dagmara Afra,"Nadiah Avenue, Paris"
118,Subhanallah Enterprise,18640926048,18307110118@sjtu.edu.cn,Emma-Marie Cade,"Dua Avenue, Buenos Aires"
119,Reeha Enterprise,13783428060,18307110119@sjtu.edu.cn,Rheeva Doireann,"Kaniha Street, Delhi"
120,Zuri Enterprise,15812850946,18307110120@sjtu.edu.cn,Taiba Faelan,"Charli Road, Beijing"
121,Conaill Enterprise,15853076917,18307110121@sjtu.edu.cn,Lee Arveer,"Rubi-A Lane, Beijing"
122,Kelsie Enterprise,15851008348,18307110122@sjtu.edu.cn,Ifraz Becca-Lea,"Kefah Street, Paris"
123,Indie-Rose Enterprise,18661511255,18307110123@sjtu.edu.cn,Eshal Candice,"Saariy Lane, Madrid"
124,Staysi Enterprise,18999010929,18307110124@sjtu.edu.cn,Satnam Immillah,"Harlow Avenue, Los Angeles"
125,Skander Enterprise,19125037443,18307110125@sjtu.edu.cn,Lucie-Mai Lemar,"Ellie- Road, Sao Paulo"
126,Jaeme Enterprise,13743378485,18307110126@sjtu.edu.cn,Anna-Fay Shimon,"Sapphi Road, Los Angeles"
127,Anaiya Enterprise,18634286078,18307110127@sjtu.edu.cn,Khitikorn Emran,"Cooper Street, Los Angeles"
128,Lucky Enterprise,15894853632,18307110128@sjtu.edu.cn,Medinah Bartosz,"Anna-M Street, Shanghai"
129,Alysiah Enterprise,19155396546,18307110129@sjtu.edu.cn,Suliman Bethyn,"Gracei Road, Hong Kong"
130,Tre Enterprise,13750554191,18307110130@sjtu.edu.cn,Harriet-Louise Lyiara,"Rachel Road, Delhi"
131,Analise Enterprise,15871676814,18307110131@sjtu.edu.cn,Starrie Matilda,"Seain Lane, Sao Paulo"
132,Eliotte Enterprise,15848044642,18307110132@sjtu.edu.cn,Keiomei Ruxa,"Koldo Road, London"
133,Vladimirs Enterprise,15877424841,18307110133@sjtu.edu.cn,Callum-Lee Barira,"Natash Street, London"
134,Charlene Enterprise,18936213213,18307110134@sjtu.edu.cn,Arbaaz Kel,"Rohays Lane, Los Angeles"
135,Rhome Enterprise,19110872967,18307110135@sjtu.edu.cn,Herman Vijval,"Presti Road, Tokyo"
136,Ashvihan Enterprise,19198314134,18307110136@sjtu.edu.cn,Kuzey Layd,"Rosali Road, Delhi"
137,Jae-Leigh Enterprise,18971022177,18307110137@sjtu.edu.cn,Zara-Rose Nethan,"Valya Lane, London"
138,Mikaele Enterprise,18985959832,18307110138@sjtu.edu.cn,Zvikomborero Ziqi,"Karrar Road, Seoul"
139,Inola Enterprise,18670426179,18307110139@sjtu.edu.cn,Larson Reka,"Leeon Road, Delhi"
140,Jonaide Enterprise,18999736697,18307110140@sjtu.edu.cn,Ahana Birgul,"Rosean Avenue, Guangzhou"
141,Oluwagbemisola Enterprise,18667766173,18307110141@sjtu.edu.cn,Cami Leithan,"Cee Street, Shanghai"
142,Petko Enterprise,18698341090,18307110142@sjtu.edu.cn,Destan Chanell,"Alyun Street, Paris"
143,Rahman Enterprise,13741258823,18307110143@sjtu.edu.cn,Jorja Kaisey-Leigh,"Younis Lane, Bangkok"
144,Eliass Enterprise,13782458020,18307110144@sjtu.edu.cn,Kaidylee Charley-Leigh,"Miura Road, Seoul"
145,Neia Enterprise,13792018167,18307110145@sjtu.edu.cn,Ella-Marie Alleana,"Madiso Road, Madrid"
146,Fillip Enterprise,13776179106,18307110146@sjtu.edu.cn,Hayley-James Billie-Faith,"Jaydan Street, Beijing"
147,Haidn Enterprise,15839097992,18307110147@sjtu.edu.cn,Shehnoor Aaranyan,"Rhubie Lane, Hong Kong"
148,Mamie Enterprise,18642977104,18307110148@sjtu.edu.cn,Hams Artai,"Jessic Road, Bangkok"
149,Aoife-Grace Enterprise,18695986746,18307110149@sjtu.edu.cn,Hany Anella,"Maxi Street, Tokyo"
150,Aftyn Enterprise,18957393877,18307110150@sjtu.edu.cn,Arourra Mayze,"Domini Avenue, Beijing"
151,Malakhi Enterprise,18973998780,18307110151@sjtu.edu.cn,Tillyanna Luey,"Dagmar Road, Tokyo"
152,Cashen Enterprise,19157830333,18307110152@sjtu.edu.cn,Rosie-Leigh Elijah-Lee,"Elwenn Avenue, Shanghai"
153,Aadhish Enterprise,13737438519,18307110153@sjtu.edu.cn,Brendon Travis-Jackie,"Aleksa Street, Buenos Aires"
154,Yusraa Enterprise,19174651578,18307110154@sjtu.edu.cn,Cullen Lily-Star,"Ash-Le Lane, Delhi"
155,Ella-Elise Enterprise,13747125959,18307110155@sjtu.edu.cn,Electra Aimee,"Yujoe Street, Sao Paulo"
156,Kia-Rose Enterprise,18973468219,18307110156@sjtu.edu.cn,Mily Khloe,"Eldon Avenue, Madrid"
157,Hams Enterprise,13771736493,18307110157@sjtu.edu.cn,Caydon Noyaan,"Muneeb Lane, Bangkok"
158,Hasnaat Enterprise,15882550966,18307110158@sjtu.edu.cn,Ryeah Lutza,"Samil Avenue, Manila"
159,Garrett Enterprise,18992403143,18307110159@sjtu.edu.cn,Ameiliah Skyelah,"Kaeb Street, Delhi"
160,Shahabuddin Enterprise,13736217081,18307110160@sjtu.edu.cn,Amelia-Lee Yannis,"Joshua Avenue, Shanghai"
161,Cathel Enterprise,18618685598,18307110161@sjtu.edu.cn,Kyng Jenell,"Eliann Street, Sao Paulo"
162,Cami-Li Enterprise,18996001086,18307110162@sjtu.edu.cn,Coady Towa,"Nahyan Street, Bangkok"
163,Anaiyah Enterprise,19153965948,18307110163@sjtu.edu.cn,Nojus Sushree,"Swara Street, Bangkok"
164,Dusty Enterprise,15882708946,18307110164@sjtu.edu.cn,Rodger Tanmay,"Horam Road, Buenos Aires"
165,Torkwase Enterprise,18984795389,18307110165@sjtu.edu.cn,Lailah-Mae Calvin-James,"Jon-Ro Lane, Buenos Aires"
166,Ashleigh-Rose Enterprise,13795183159,18307110166@sjtu.edu.cn,Noorfatima Forres,"Sresth Lane, Beijing"
167,Jess-Jae Enterprise,19180300921,18307110167@sjtu.edu.cn,Tiamii-Rose Melanija,"Darcie Street, London"
168,Cailyn Enterprise,19157056433,18307110168@sjtu.edu.cn,Abdul-Raqib Adeline-Rose,"Khandi Lane, Shanghai"
169,Abdualeem Enterprise,13742119786,18307110169@sjtu.edu.cn,Faraja Kirie,"Olivia Street, Paris"
170,Abbie-Louise Enterprise,18678676255,18307110170@sjtu.edu.cn,Myla-Ellis Mhammed,"Tamara Avenue, Paris"
171,Paulina Enterprise,18635771676,18307110171@sjtu.edu.cn,Willow Loucas,"Camero Street, Manila"
172,Cory-Jay Enterprise,18924870365,18307110172@sjtu.edu.cn,Paulin Esme-Rose,"Iarlai Lane, London"
173,Mivaan Enterprise,18644624240,18307110173@sjtu.edu.cn,Deema Elianeth,"Mylee Street, Bangkok"
174,Caidie Enterprise,19156893651,18307110174@sjtu.edu.cn,Chirag Saffia,"Robbi Road, Tokyo"
175,Miko Enterprise,18941599203,18307110175@sjtu.edu.cn,Riminozu Murn,"Sahiba Lane, Guangzhou"
176,Hansi Enterprise,19149037128,18307110176@sjtu.edu.cn,Juha Noah-Jay,"Maicey Street, Tokyo"
177,Arnau Enterprise,15849276871,18307110177@sjtu.edu.cn,Samin Kryspin,"Xirui Street, Madrid"
178,Zihang Enterprise,18659667436,18307110178@sjtu.edu.cn,Dilneet Livvy-Mei,"Savann Road, Tokyo"
179,Amayah Enterprise,13799921955,18307110179@sjtu.edu.cn,Esme-Grace Ryan-Ray,"Coupar Road, Delhi"
180,Sulien Enterprise,13791358117,18307110180@sjtu.edu.cn,Afrin Emerie-May,"Marr Street, Shanghai"
181,Sean-Patrick Enterprise,18610881942,18307110181@sjtu.edu.cn,Fox Klaye,"Elsie- Avenue, Seoul"
182,Domenica Enterprise,18976868279,18307110182@sjtu.edu.cn,Subina Kinjal,"Ohli Street, Sao Paulo"
183,Jed Enterprise,13743857633,18307110183@sjtu.edu.cn,Rivver Abdul-Bari,"Merced Avenue, Manila"
184,Senuli Enterprise,19175346410,18307110184@sjtu.edu.cn,Geeya Johno,"Manaha Avenue, Seoul"
185,Sameera Enterprise,19110457036,18307110185@sjtu.edu.cn,Robart Dawson-Alexander,"Prabhg Avenue, Guangzhou"
186,Sorchah Enterprise,15894741953,18307110186@sjtu.edu.cn,Macsen Deonna,"Marcel Street, Hong Kong"
187,Riley-Jay Enterprise,13775115359,18307110187@sjtu.edu.cn,Ysabelle Gallacher-Lee,"Nahele Road, Delhi"
188,Noa Enterprise,18614249952,18307110188@sjtu.edu.cn,Javed Zeinab,"Reisha Road, London"
189,Druss Enterprise,18960726022,18307110189@sjtu.edu.cn,Ivelle Hanvikha,"Emedio Road, Hong Kong"
190,Nayadie Enterprise,19182323901,18307110190@sjtu.edu.cn,Abduallah Laedemi,"Atila Avenue, London"
191,Nisha Enterprise,18624369099,18307110191@sjtu.edu.cn,Zaynub Terezia,"Rhille Road, Shanghai"
192,Joelle Enterprise,18617338818,18307110192@sjtu.edu.cn,Lyla-Ann Bllyss,"Pacey Lane, Bangkok"
193,Avaneesh Enterprise,18616882742,18307110193@sjtu.edu.cn,Figgy Queen-Johannah,"Dionys Street, Guangzhou"
194,Ream Enterprise,19140961933,18307110194@sjtu.edu.cn,Arois Shahd,"Raniya Road, Buenos Aires"
195,Mehik Enterprise,15849858129,18307110195@sjtu.edu.cn,Arrie Raaina,"Kehry' Avenue, London"
196,Shahyaan Enterprise,19190116240,18307110196@sjtu.edu.cn,Lex Tayon,"Joely Lane, London"
197,Aaron Enterprise,13758322500,18307110197@sjtu.edu.cn,Ellamary Cherno,"Osameg Road, Manila"
198,Caittlin Enterprise,15813902536,18307110198@sjtu.edu.cn,Kodi-Joseph Bendeguz,"Emer Avenue, Shanghai"
199,Kayson-Charles Enterprise,18967208373,18307110199@sjtu.edu.cn,Nazirah Evaldas,"Kadee Road, Buenos Aires"
200,Michala Enterprise,19135828902,18307110200@sjtu.edu.cn,Marshall-Jack Mofiyinfoluwa,"Megann Avenue, Guangzhou"
201,Zhaohui Enterprise,18987611092,18307110201@sjtu.edu.cn,Aberdeen Serra,"Tygh Avenue, Buenos Aires"
202,Rokka Enterprise,19143228018,18307110202@sjtu.edu.cn,Blaney Coast,"Nova-L Road, Bangkok"
203,Sanjana Enterprise,13795569926,18307110203@sjtu.edu.cn,Boyan Jojo,"Matvej Street, Beijing"
204,Annabella Enterprise,15889048754,18307110204@sjtu.edu.cn,Ghillie Kailym,"Robins Street, Hong Kong"
205,Paraskevi-Angeliki Enterprise,18674072261,18307110205@sjtu.edu.cn,Mylez Amaya-Grace,"Serdem Avenue, Buenos Aires"
206,Aalid Enterprise,18692511867,18307110206@sjtu.edu.cn,Parminderjit Yezda,"Breigh Street, Seoul"
207,Eoghann Enterprise,19113121743,18307110207@sjtu.edu.cn,Ryleigh-Jay Decca,"Aylie- Avenue, Seoul"
208,Kierin Enterprise,18926801333,18307110208@sjtu.edu.cn,Kaspin Gwendolyn,"Ivailo Street, Buenos Aires"
209,Eilish Enterprise,18630253469,18307110209@sjtu.edu.cn,Conrad Cherno,"Avni Street, Buenos Aires"
210,Kullyn Enterprise,13789197832,18307110210@sjtu.edu.cn,Ivy-Meadow B'john,"Envy Lane, Manila"
211,Talisha Enterprise,13793963841,18307110211@sjtu.edu.cn,Elias-Francis Oliver-Peters,"Kody Lane, Paris"
212,Sara Enterprise,18915454217,18307110212@sjtu.edu.cn,Xara Tariq,"Amyerr Avenue, Guangzhou"
213,Rithya Enterprise,13740162921,18307110213@sjtu.edu.cn,Keavni Friedrich,"Nevio Avenue, Guangzhou"
214,Mayameen Enterprise,15822275839,18307110214@sjtu.edu.cn,Martha-Skye Ma'amoun,"Apenai Lane, Seoul"
215,Emma Enterprise,13786647639,18307110215@sjtu.edu.cn,Caiden-James Lillie-Kate,"Joshve Avenue, Beijing"
216,Santiago Enterprise,18681728931,18307110216@sjtu.edu.cn,Ollii Georgeta,"Charli Avenue, Bangkok"
217,Elrick Enterprise,18930318865,18307110217@sjtu.edu.cn,Melad Brighid,"Nilhi Road, Beijing"
218,Myrin Enterprise,13741121775,18307110218@sjtu.edu.cn,Aggelos Zoheb,"Olly-R Street, Shanghai"
219,Zayian Enterprise,18945097532,18307110219@sjtu.edu.cn,Cyde Oyindasola,"Davey Street, Sao Paulo"
220,Lillia-Rose Enterprise,15898211214,18307110220@sjtu.edu.cn,Nevaeh-Rose Jinsu,"Minive Road, Manila"
221,Macx Enterprise,13748742148,18307110221@sjtu.edu.cn,Zaryaan Skyla-Jean,"Rylen Street, Sao Paulo"
222,Lleyton Enterprise,18948076518,18307110222@sjtu.edu.cn,Matus Kassidi,"April- Road, Tokyo"
223,Anae Enterprise,18997034203,18307110223@sjtu.edu.cn,Nereya Jaymee-Leigh,"Annmar Road, Shanghai"
224,Jaazba Enterprise,18922533715,18307110224@sjtu.edu.cn,Raumaan Sawyer,"Emilia Street, Shanghai"
225,Arteel Enterprise,13770677077,18307110225@sjtu.edu.cn,Pujysrita Andrej,"Blase Lane, Tokyo"
226,Eliyanah Enterprise,13767771901,18307110226@sjtu.edu.cn,Tianna Raymah,"Oscar- Street, Bangkok"
227,Breigh Enterprise,18628260172,18307110227@sjtu.edu.cn,Yuanying Selene,"Leri Road, Seoul"
228,Leigh-Anna Enterprise,18986321069,18307110228@sjtu.edu.cn,Delphi Casey-Jacob,"Shahra Lane, London"
229,Georgie Enterprise,13773007723,18307110229@sjtu.edu.cn,Lillee-Rose Luci-Anne,"Halle- Road, Shanghai"
230,Bismah Enterprise,13782431957,18307110230@sjtu.edu.cn,Jitesh Ressan,"Allaya Avenue, Sao Paulo"
